faithfulness,naturalness,score
0.6601,0.5074,0.3350
0.5274,0.4466,0.2356
0.6294,0.4353,0.2740
0.5775,0.5024,0.2901
0.6373,0.4832,0.3079
0.5674,0.4272,0.2424
0.5380,0.4160,0.2238
0.6610,0.5105,0.3374
0.5851,0.4098,0.2398
0.5632,0.4173,0.2350
0.5369,0.4519,0.2426
0.5970,0.5100,0.3044
0.6118,0.4299,0.2630
0.4855,0.3822,0.1856
0.5616,0.4617,0.2593
0.5489,0.3794,0.2083
0.5099,0.3609,0.1840
0.6647,0.4773,0.3172
0.5446,0.4474,0.2436
0.6491,0.5036,0.3269
0.5562,0.4294,0.2388
0.6171,0.4766,0.2941
0.6554,0.5442,0.3567
0.6393,0.4629,0.2959
0.5414,0.4527,0.2451
0.6365,0.4383,0.2790
0.6308,0.4871,0.3073
0.5890,0.4614,0.2718
0.5983,0.4528,0.2709
0.5605,0.4002,0.2243
0.5807,0.3889,0.2258
0.6148,0.4972,0.3057
0.6260,0.4585,0.2870
0.5981,0.4354,0.2604
0.5755,0.4383,0.2523
0.6365,0.4536,0.2887
0.5009,0.3792,0.1899
0.6359,0.4824,0.3067
0.5625,0.4286,0.2411
0.6245,0.4721,0.2948
0.6547,0.4453,0.2915
0.6049,0.4182,0.2530
0.6347,0.5077,0.3223
0.6099,0.4636,0.2827
0.6223,0.4453,0.2771
0.5925,0.4388,0.2600
0.4966,0.3128,0.1553
0.6031,0.4884,0.2945
0.5868,0.4444,0.2608
0.6129,0.4059,0.2488
0.5616,0.4654,0.2613
0.5220,0.3752,0.1959
0.6261,0.4950,0.3099
0.6350,0.4855,0.3083
0.6299,0.4900,0.3087
0.5807,0.4954,0.2877
0.5783,0.4766,0.2756
0.6025,0.4588,0.2765
0.5812,0.3775,0.2194
0.6672,0.5341,0.3564
0.4402,0.3398,0.1496
0.5860,0.4638,0.2718
0.6140,0.4604,0.2827
0.6981,0.5580,0.3896
0.4601,0.3293,0.1515
0.4685,0.3585,0.1679
0.6517,0.5084,0.3313
0.6297,0.4885,0.3076
0.5060,0.3997,0.2022
0.4785,0.3518,0.1683
0.6005,0.4794,0.2879
0.5640,0.4458,0.2514
0.5827,0.4354,0.2537
0.6427,0.4591,0.2951
0.5231,0.4625,0.2419
0.5245,0.4541,0.2382
0.5926,0.4467,0.2647
0.5720,0.4155,0.2377
0.6582,0.5156,0.3394
0.5295,0.4182,0.2215
0.5257,0.3641,0.1914
0.5678,0.4595,0.2609
0.6161,0.4348,0.2679
0.6330,0.4842,0.3065
0.5151,0.3270,0.1685
0.5800,0.5115,0.2967
0.5480,0.4020,0.2203
0.6252,0.4595,0.2873
0.5309,0.3487,0.1852
0.6174,0.5266,0.3251
0.6042,0.5088,0.3074
0.6268,0.5519,0.3459
0.4969,0.3851,0.1913
0.4488,0.3572,0.1603
0.6262,0.4933,0.3089
0.5292,0.4457,0.2359
0.5992,0.4916,0.2945
0.4516,0.3286,0.1484
0.5966,0.4765,0.2843
0.5788,0.4219,0.2442
