faithfulness,naturalness,score
0.5311,0.4735,0.2515
0.5849,0.5946,0.3478
0.6217,0.5468,0.3400
0.5372,0.5293,0.2844
0.6036,0.3870,0.2336
0.6080,0.4936,0.3001
0.6738,0.5805,0.3911
0.6717,0.6407,0.4304
0.4760,0.5129,0.2441
0.7389,0.5275,0.3898
0.5929,0.4649,0.2756
0.6924,0.5811,0.4023
0.6500,0.5250,0.3412
0.6768,0.6638,0.4493
0.6327,0.5953,0.3766
0.7275,0.5394,0.3924
0.6904,0.5894,0.4069
0.6364,0.4919,0.3130
0.5789,0.4308,0.2494
0.7262,0.5188,0.3768
0.6259,0.4897,0.3065
0.6715,0.5259,0.3531
0.6081,0.4157,0.2528
0.7004,0.4809,0.3368
0.6219,0.4954,0.3081
0.5505,0.4421,0.2434
0.6357,0.5195,0.3302
0.6126,0.5780,0.3540
0.5091,0.5231,0.2663
0.6176,0.4973,0.3071
0.5656,0.5371,0.3038
0.5053,0.5279,0.2667
0.5832,0.4642,0.2707
0.4641,0.4638,0.2153
0.6591,0.5506,0.3629
0.5121,0.4775,0.2445
0.6112,0.5618,0.3434
0.5714,0.4541,0.2594
0.6501,0.5266,0.3424
0.6712,0.5262,0.3532
0.6145,0.4137,0.2542
0.6235,0.5525,0.3445
0.6545,0.5762,0.3771
0.7270,0.5442,0.3956
0.5237,0.4683,0.2452
0.6192,0.4489,0.2779
0.7083,0.5696,0.4034
0.6152,0.4914,0.3023
0.5320,0.4616,0.2456
0.6414,0.6277,0.4026
0.6913,0.5566,0.3848
0.6391,0.5105,0.3262
0.5186,0.5229,0.2711
0.6124,0.5345,0.3273
0.6968,0.6099,0.4249
0.5653,0.5478,0.3097
0.7288,0.5867,0.4276
0.4738,0.4708,0.2231
0.6871,0.5173,0.3554
0.6940,0.4752,0.3298
0.6955,0.7230,0.5028
0.6506,0.4880,0.3175
0.5308,0.4766,0.2530
0.6744,0.5369,0.3621
0.5889,0.5712,0.3364
0.7091,0.5555,0.3939
0.5616,0.2972,0.1669
0.6270,0.5635,0.3533
0.4727,0.4290,0.2028
0.4313,0.5392,0.2326
0.6267,0.5369,0.3364
0.5857,0.5040,0.2952
0.6808,0.5120,0.3486
0.5384,0.4946,0.2663
0.6828,0.5840,0.3988
0.6280,0.4759,0.2989
0.6628,0.5103,0.3382
0.5714,0.4111,0.2349
0.6726,0.5054,0.3399
0.5512,0.6593,0.3634
0.5748,0.4438,0.2551
0.7138,0.5674,0.4050
0.7332,0.5856,0.4294
0.4946,0.4104,0.2030
0.4974,0.3614,0.1798
0.6127,0.4793,0.2936
0.5019,0.4502,0.2260
0.5353,0.4103,0.2197
0.5741,0.4638,0.2662
0.7351,0.6009,0.4417
0.6019,0.5085,0.3061
0.7474,0.6714,0.5018
0.6208,0.5400,0.3352
0.6129,0.4284,0.2626
0.5752,0.5367,0.3087
0.5871,0.5581,0.3276
0.6843,0.4625,0.3165
0.6363,0.4910,0.3124
0.6747,0.6237,0.4209
0.5933,0.5467,0.3244
