faithfulness,naturalness,score
0.4186,0.5842,0.2445
0.4356,0.5409,0.2356
0.4259,0.5317,0.2265
0.4723,0.4901,0.2315
0.5008,0.5280,0.2644
0.4304,0.4816,0.2073
0.5430,0.5266,0.2859
0.5296,0.5615,0.2974
0.4848,0.5734,0.2780
0.5631,0.6304,0.3550
0.4723,0.5539,0.2616
0.5505,0.5353,0.2947
0.4267,0.4880,0.2083
0.5627,0.5871,0.3303
0.4465,0.4593,0.2051
0.4684,0.5647,0.2645
0.4949,0.5966,0.2953
0.5253,0.6306,0.3313
0.4543,0.5485,0.2492
0.4743,0.5539,0.2627
0.3736,0.5177,0.1934
0.6247,0.6058,0.3785
0.4785,0.4837,0.2315
0.4776,0.5093,0.2433
0.4198,0.6151,0.2582
0.5148,0.5294,0.2725
0.5469,0.4971,0.2719
0.5330,0.5194,0.2768
0.4395,0.5486,0.2411
0.4473,0.5371,0.2402
0.5467,0.5717,0.3125
0.4642,0.5548,0.2575
0.4980,0.5381,0.2680
0.5032,0.5010,0.2521
0.4433,0.5267,0.2335
0.5047,0.5707,0.2880
0.4923,0.5467,0.2692
0.4752,0.5512,0.2620
0.4349,0.6121,0.2662
0.5004,0.5600,0.2802
0.4537,0.5912,0.2682
0.5662,0.5041,0.2854
0.4460,0.5705,0.2545
0.4721,0.5074,0.2395
0.5516,0.6003,0.3312
0.4953,0.5437,0.2693
0.5530,0.5424,0.2999
0.4424,0.5544,0.2453
0.4658,0.5637,0.2626
0.4317,0.5931,0.2560
0.4680,0.5701,0.2668
0.5946,0.5068,0.3014
0.5362,0.4810,0.2579
0.4527,0.5785,0.2619
0.4983,0.5696,0.2838
0.5650,0.5523,0.3120
0.5326,0.4881,0.2600
0.5721,0.6126,0.3504
0.4355,0.6188,0.2695
0.4924,0.6371,0.3137
0.5666,0.5656,0.3204
0.3933,0.5058,0.1989
0.5496,0.6160,0.3386
0.5175,0.6188,0.3202
0.4981,0.5696,0.2838
0.5572,0.5960,0.3321
0.4645,0.5822,0.2705
0.5754,0.5947,0.3422
0.4046,0.4943,0.2000
0.4720,0.5994,0.2829
0.4617,0.5477,0.2529
0.5816,0.4807,0.2796
0.5968,0.5095,0.3040
0.4436,0.5646,0.2505
0.5081,0.5285,0.2685
0.4104,0.5125,0.2103
0.4746,0.5032,0.2388
0.4979,0.6224,0.3099
0.4568,0.5566,0.2542
0.4008,0.5296,0.2123
0.4629,0.5741,0.2658
0.4619,0.5878,0.2715
0.5276,0.5985,0.3158
0.4992,0.5031,0.2512
0.5723,0.4829,0.2764
0.5021,0.4939,0.2480
0.4028,0.5983,0.2410
0.4274,0.5087,0.2174
0.4835,0.5230,0.2529
0.4950,0.6021,0.2981
0.4245,0.5301,0.2250
0.5028,0.5217,0.2623
0.5253,0.5454,0.2865
0.5374,0.5107,0.2744
0.5458,0.5041,0.2752
0.5409,0.6213,0.3361
0.4671,0.5504,0.2571
0.4620,0.5532,0.2556
0.5144,0.5262,0.2707
0.5403,0.5579,0.3015
