faithfulness,naturalness,score
0.3678,0.4835,0.1778
0.3964,0.4424,0.1754
0.5234,0.4442,0.2325
0.4302,0.4842,0.2083
0.4690,0.3440,0.1613
0.5355,0.4136,0.2215
0.4270,0.4332,0.1850
0.3998,0.4532,0.1812
0.4270,0.3777,0.1613
0.5295,0.4528,0.2398
0.4364,0.5116,0.2233
0.5219,0.4119,0.2150
0.5269,0.5039,0.2655
0.5264,0.5086,0.2678
0.4120,0.3949,0.1627
0.5458,0.4361,0.2380
0.5199,0.4339,0.2256
0.3773,0.4325,0.1632
0.5398,0.5492,0.2965
0.4456,0.5003,0.2230
0.5587,0.4348,0.2429
0.3954,0.4030,0.1593
0.4624,0.4842,0.2239
0.4190,0.4210,0.1764
0.4886,0.4386,0.2143
0.6020,0.3959,0.2384
0.4446,0.4594,0.2043
0.4826,0.3826,0.1846
0.3976,0.5267,0.2094
0.4531,0.4763,0.2158
0.5367,0.3563,0.1912
0.4116,0.4091,0.1684
0.5626,0.3871,0.2178
0.4427,0.4517,0.2000
0.5128,0.3733,0.1914
0.5028,0.4700,0.2363
0.5117,0.4186,0.2142
0.3133,0.4222,0.1323
0.4535,0.4204,0.1907
0.4105,0.4068,0.1670
0.3166,0.4476,0.1417
0.6475,0.3519,0.2279
0.3539,0.4276,0.1513
0.5535,0.3853,0.2133
0.5233,0.3912,0.2047
0.3806,0.4485,0.1707
0.6502,0.4504,0.2929
0.5930,0.4576,0.2714
0.6590,0.5094,0.3357
0.5153,0.5158,0.2658
0.5176,0.4737,0.2452
0.3681,0.5131,0.1889
0.5389,0.3262,0.1758
0.5174,0.4515,0.2336
0.4423,0.4130,0.1827
0.4155,0.4536,0.1885
0.4881,0.4661,0.2275
0.3891,0.3212,0.1250
0.4700,0.4188,0.1968
0.4404,0.3894,0.1715
0.4635,0.4462,0.2068
0.4077,0.4366,0.1780
0.6591,0.5056,0.3332
0.5418,0.3335,0.1807
0.4047,0.4296,0.1739
0.6543,0.5522,0.3613
0.5884,0.4728,0.2782
0.3986,0.4033,0.1608
0.5379,0.4862,0.2615
0.6061,0.4744,0.2875
0.6776,0.5392,0.3654
0.4301,0.4103,0.1765
0.4782,0.4994,0.2388
0.4534,0.5006,0.2270
0.4351,0.4912,0.2137
0.4286,0.4598,0.1971
0.4853,0.4818,0.2338
0.4226,0.4718,0.1994
0.4533,0.4491,0.2036
0.5060,0.4717,0.2387
0.3951,0.4149,0.1639
0.4539,0.4026,0.1827
0.4577,0.3939,0.1803
0.4856,0.3491,0.1695
0.5249,0.4549,0.2388
0.6404,0.4930,0.3157
0.4346,0.4650,0.2021
0.5330,0.4724,0.2518
0.4863,0.4430,0.2154
0.4280,0.3978,0.1703
0.5146,0.5104,0.2626
0.7008,0.4841,0.3393
0.4867,0.5512,0.2682
0.3641,0.3829,0.1394
0.4186,0.4978,0.2084
0.5030,0.5267,0.2649
0.3968,0.4139,0.1642
0.6033,0.5069,0.3058
0.4149,0.3748,0.1555
0.5557,0.5713,0.3175
