faithfulness,naturalness,score
0.3719,0.4762,0.1771
0.4270,0.5183,0.2213
0.6141,0.4900,0.3009
0.4293,0.4933,0.2118
0.3999,0.4537,0.1815
0.3801,0.4771,0.1814
0.4625,0.4440,0.2053
0.4907,0.5500,0.2699
0.5023,0.5347,0.2686
0.3675,0.4736,0.1740
0.4396,0.4622,0.2032
0.4671,0.5514,0.2575
0.4613,0.4732,0.2183
0.4767,0.4927,0.2348
0.4715,0.5074,0.2392
0.4771,0.4866,0.2322
0.4245,0.4288,0.1820
0.3579,0.4566,0.1634
0.3951,0.5243,0.2071
0.4454,0.4419,0.1968
0.5660,0.4894,0.2770
0.4174,0.4828,0.2015
0.4503,0.5407,0.2435
0.4078,0.4619,0.1884
0.4330,0.5219,0.2260
0.4755,0.4998,0.2377
0.4521,0.4892,0.2212
0.4196,0.4958,0.2080
0.4294,0.4165,0.1788
0.4519,0.4516,0.2040
0.4653,0.4851,0.2258
0.4570,0.5619,0.2568
0.4355,0.4197,0.1828
0.4684,0.5006,0.2345
0.4632,0.4916,0.2277
0.4285,0.4838,0.2073
0.3994,0.4609,0.1841
0.4360,0.5261,0.2294
0.4474,0.4522,0.2023
0.4429,0.5507,0.2439
0.3672,0.5440,0.1998
0.3977,0.4862,0.1934
0.4783,0.5045,0.2413
0.3891,0.4699,0.1828
0.4833,0.5860,0.2832
0.4107,0.4896,0.2011
0.3878,0.4728,0.1833
0.4962,0.5431,0.2695
0.4211,0.4848,0.2041
0.3808,0.4669,0.1778
0.5348,0.4953,0.2649
0.4543,0.4335,0.1969
0.5134,0.4538,0.2330
0.4426,0.4416,0.1954
0.4500,0.4835,0.2175
0.4852,0.4418,0.2144
0.5461,0.6008,0.3281
0.4494,0.4926,0.2213
0.4611,0.5232,0.2412
0.4792,0.5317,0.2548
0.4382,0.4715,0.2066
0.3909,0.4371,0.1709
0.4106,0.4746,0.1949
0.4063,0.4724,0.1919
0.4559,0.4271,0.1947
0.4131,0.3563,0.1472
0.4303,0.4722,0.2032
0.4131,0.5213,0.2153
0.5165,0.4772,0.2465
0.4489,0.4391,0.1971
0.4182,0.4423,0.1850
0.4489,0.5576,0.2503
0.4951,0.4239,0.2099
0.5509,0.5034,0.2773
0.4733,0.4765,0.2255
0.4277,0.4906,0.2098
0.4470,0.4552,0.2035
0.4360,0.5054,0.2203
0.4386,0.5651,0.2479
0.3841,0.4709,0.1808
0.4005,0.4026,0.1612
0.4905,0.4928,0.2417
0.4260,0.4951,0.2109
0.3987,0.4031,0.1607
0.4828,0.6088,0.2939
0.4611,0.4944,0.2279
0.4101,0.5094,0.2089
0.4730,0.5588,0.2643
0.4523,0.4968,0.2247
0.4891,0.5177,0.2532
0.4398,0.4825,0.2122
0.4327,0.4870,0.2107
0.4499,0.4958,0.2231
0.4216,0.4912,0.2071
0.4385,0.4865,0.2133
0.3904,0.4820,0.1882
0.3529,0.5051,0.1782
0.4863,0.4902,0.2384
0.5007,0.5094,0.2550
0.4347,0.5145,0.2237
