faithfulness,naturalness,score
0.6749,0.5254,0.3546
0.7752,0.6482,0.5025
0.7667,0.6695,0.5133
0.7541,0.6403,0.4828
0.7802,0.6337,0.4944
0.7164,0.5367,0.3845
0.7459,0.6111,0.4558
0.7367,0.6711,0.4944
0.7738,0.6647,0.5143
0.7814,0.6305,0.4927
0.7564,0.6015,0.4550
0.7396,0.6453,0.4772
0.7852,0.6460,0.5072
0.7759,0.6281,0.4874
0.7755,0.6354,0.4928
0.7752,0.6506,0.5043
0.7857,0.6561,0.5155
0.6778,0.5224,0.3541
0.6942,0.5620,0.3902
0.7242,0.5719,0.4141
0.7578,0.7096,0.5378
0.7549,0.6287,0.4747
0.8006,0.6600,0.5284
0.7978,0.6841,0.5458
0.7241,0.5456,0.3951
0.7656,0.6243,0.4780
0.6977,0.5531,0.3859
0.6929,0.5736,0.3975
0.7447,0.6921,0.5154
0.6909,0.6023,0.4162
0.7302,0.6054,0.4421
0.7260,0.5836,0.4237
0.7897,0.6221,0.4912
0.7808,0.7081,0.5529
0.7595,0.5788,0.4396
0.7711,0.6525,0.5032
0.7277,0.6042,0.4397
0.7298,0.6157,0.4494
0.7582,0.6013,0.4559
0.7645,0.6443,0.4926
0.6724,0.4958,0.3334
0.6493,0.4918,0.3193
0.7260,0.5815,0.4221
0.8196,0.7060,0.5787
0.7264,0.5476,0.3978
0.7439,0.6368,0.4737
0.7492,0.6576,0.4927
0.7604,0.6507,0.4948
0.6965,0.6012,0.4188
0.7826,0.6590,0.5157
0.8277,0.6867,0.5684
0.7606,0.6652,0.5060
0.7793,0.6620,0.5159
0.7586,0.6377,0.4837
0.7813,0.6726,0.5255
0.7703,0.6488,0.4998
0.7408,0.5732,0.4247
0.7623,0.6822,0.5201
0.7266,0.6268,0.4554
0.7822,0.6703,0.5243
0.7563,0.5927,0.4483
0.7493,0.6527,0.4891
0.7243,0.5504,0.3987
0.7397,0.6181,0.4572
0.6994,0.5507,0.3852
0.7492,0.6010,0.4503
0.7715,0.6278,0.4843
0.7843,0.6417,0.5032
0.6814,0.5036,0.3431
0.7715,0.6471,0.4993
0.7381,0.5975,0.4410
0.7740,0.6250,0.4838
0.7706,0.5750,0.4431
0.7405,0.6348,0.4701
0.7717,0.7140,0.5510
0.7464,0.6969,0.5202
0.7734,0.6496,0.5024
0.8074,0.6601,0.5330
0.7528,0.6049,0.4553
0.7649,0.5682,0.4347
0.7571,0.6100,0.4619
0.6813,0.5459,0.3719
0.7738,0.6503,0.5032
0.7629,0.6053,0.4618
0.7721,0.6591,0.5089
0.7745,0.6253,0.4843
0.7510,0.6505,0.4886
0.7862,0.6469,0.5086
0.7667,0.5772,0.4425
0.7351,0.6213,0.4567
0.7993,0.6410,0.5124
0.7188,0.5761,0.4141
0.7216,0.5976,0.4313
0.7845,0.6147,0.4822
0.7586,0.5861,0.4446
0.7534,0.5878,0.4428
0.7553,0.6184,0.4671
0.7606,0.6647,0.5056
0.7828,0.6805,0.5327
0.7250,0.5796,0.4202
