faithfulness,naturalness,score
0.7212,0.5692,0.4105
0.6194,0.5436,0.3367
0.6063,0.5893,0.3573
0.6896,0.4985,0.3438
0.6479,0.6560,0.4251
0.6795,0.4844,0.3292
0.6854,0.5632,0.3860
0.7564,0.6365,0.4814
0.7131,0.6594,0.4702
0.6512,0.4987,0.3247
0.7523,0.5862,0.4410
0.7214,0.6271,0.4524
0.6680,0.5846,0.3905
0.6554,0.5677,0.3721
0.7939,0.7192,0.5709
0.6902,0.5306,0.3662
0.6797,0.5389,0.3663
0.6346,0.6069,0.3851
0.5350,0.4922,0.2633
0.6908,0.5920,0.4089
0.6570,0.4436,0.2914
0.7354,0.5944,0.4372
0.7009,0.4807,0.3369
0.7478,0.5947,0.4448
0.7277,0.5268,0.3834
0.7208,0.5932,0.4275
0.6478,0.6188,0.4009
0.5347,0.5887,0.3148
0.7411,0.6628,0.4912
0.6307,0.5890,0.3715
0.7108,0.5658,0.4021
0.4862,0.5380,0.2616
0.6984,0.5606,0.3915
0.5598,0.5499,0.3078
0.7351,0.5990,0.4404
0.7517,0.6061,0.4556
0.4810,0.4920,0.2367
0.6991,0.6626,0.4632
0.6409,0.4794,0.3072
0.7906,0.6335,0.5008
0.7108,0.6725,0.4780
0.5809,0.5653,0.3284
0.6528,0.5493,0.3586
0.7677,0.6045,0.4641
0.7508,0.6674,0.5010
0.7197,0.6121,0.4406
0.6085,0.5768,0.3510
0.6890,0.5753,0.3963
0.7608,0.6600,0.5021
0.6404,0.5721,0.3664
0.7245,0.5024,0.3640
0.7162,0.5685,0.4072
0.6268,0.5960,0.3736
0.6934,0.6514,0.4517
0.7290,0.5586,0.4072
0.7700,0.6503,0.5007
0.5991,0.5526,0.3311
0.6321,0.5450,0.3445
0.7448,0.6274,0.4673
0.6872,0.4947,0.3400
0.5927,0.5476,0.3246
0.6962,0.5158,0.3591
0.8242,0.5409,0.4458
0.5782,0.6231,0.3603
0.6218,0.6606,0.4108
0.6638,0.5015,0.3329
0.6724,0.5868,0.3946
0.6214,0.6292,0.3910
0.6113,0.4753,0.2906
0.7787,0.6155,0.4793
0.7043,0.6109,0.4302
0.7255,0.4943,0.3586
0.6954,0.5207,0.3621
0.6783,0.6000,0.4070
0.6562,0.5587,0.3666
0.6930,0.5588,0.3872
0.6253,0.6130,0.3833
0.5831,0.5981,0.3487
0.8094,0.5969,0.4831
0.7692,0.6145,0.4727
0.5622,0.5501,0.3093
0.6824,0.5502,0.3754
0.6928,0.5514,0.3820
0.7627,0.5743,0.4380
0.7167,0.6052,0.4337
0.7056,0.5561,0.3924
0.6380,0.5675,0.3621
0.6425,0.5596,0.3595
0.7207,0.4699,0.3387
0.6256,0.6206,0.3883
0.6887,0.6044,0.4163
0.5877,0.6492,0.3815
0.6229,0.5884,0.3665
0.7133,0.6341,0.4523
0.6322,0.5235,0.3310
0.7592,0.7217,0.5480
0.6559,0.5639,0.3699
0.7280,0.5187,0.3776
0.7011,0.5231,0.3667
0.6994,0.4662,0.3261
