faithfulness,naturalness,score
0.4825,0.5200,0.2509
0.3697,0.5500,0.2033
0.4491,0.5063,0.2274
0.4661,0.5131,0.2391
0.4921,0.6012,0.2959
0.4085,0.4897,0.2000
0.5193,0.6618,0.3437
0.4746,0.5764,0.2736
0.5115,0.5132,0.2625
0.4437,0.6097,0.2705
0.4164,0.5909,0.2460
0.4454,0.4901,0.2183
0.4318,0.5865,0.2532
0.4983,0.6045,0.3012
0.5088,0.5741,0.2921
0.4708,0.5414,0.2549
0.3686,0.5080,0.1873
0.4180,0.6310,0.2637
0.4979,0.5751,0.2863
0.4929,0.6100,0.3007
0.4250,0.4545,0.1932
0.5241,0.7089,0.3715
0.5174,0.5350,0.2769
0.4392,0.4812,0.2113
0.4919,0.5441,0.2676
0.5061,0.4725,0.2391
0.4340,0.5562,0.2414
0.4830,0.5396,0.2606
0.4477,0.5338,0.2390
0.4714,0.5865,0.2765
0.5437,0.6689,0.3637
0.4618,0.5912,0.2730
0.4271,0.5742,0.2452
0.4690,0.5806,0.2723
0.4452,0.5499,0.2448
0.4545,0.5166,0.2348
0.4239,0.5053,0.2142
0.5175,0.5792,0.2998
0.3977,0.5206,0.2070
0.4386,0.6109,0.2680
0.4341,0.5701,0.2475
0.3986,0.5467,0.2179
0.4648,0.5933,0.2758
0.4187,0.4466,0.1870
0.4719,0.5937,0.2802
0.4885,0.5396,0.2636
0.4375,0.5765,0.2522
0.4558,0.5589,0.2548
0.4523,0.5961,0.2696
0.4521,0.5765,0.2606
0.4177,0.5609,0.2343
0.4664,0.5670,0.2645
0.4482,0.5435,0.2436
0.4481,0.5766,0.2584
0.5142,0.5756,0.2960
0.4633,0.5494,0.2545
0.5345,0.5823,0.3113
0.4566,0.5446,0.2487
0.4745,0.5781,0.2743
0.5293,0.5247,0.2778
0.5466,0.5882,0.3215
0.4907,0.5225,0.2564
0.4906,0.5535,0.2715
0.3836,0.5206,0.1997
0.4612,0.5454,0.2515
0.4753,0.4728,0.2247
0.4232,0.6265,0.2651
0.4798,0.5777,0.2772
0.4481,0.5065,0.2269
0.3970,0.5309,0.2108
0.4412,0.4486,0.1979
0.5315,0.6037,0.3209
0.5812,0.5183,0.3013
0.3823,0.5235,0.2002
0.5701,0.5525,0.3150
0.4949,0.6097,0.3018
0.5093,0.5981,0.3046
0.4616,0.5911,0.2729
0.4790,0.5811,0.2784
0.4600,0.6131,0.2820
0.4510,0.5575,0.2514
0.4565,0.5597,0.2555
0.4638,0.5758,0.2670
0.4942,0.5689,0.2812
0.3852,0.5100,0.1965
0.4284,0.5254,0.2251
0.4409,0.5716,0.2521
0.4490,0.5934,0.2665
0.4805,0.6011,0.2888
0.5161,0.5348,0.2760
0.4533,0.5558,0.2519
0.4395,0.5651,0.2484
0.4517,0.5465,0.2469
0.4852,0.5677,0.2754
0.4565,0.5736,0.2618
0.4763,0.6252,0.2978
0.4867,0.5749,0.2798
0.4821,0.6513,0.3140
0.4493,0.5791,0.2602
0.4612,0.5433,0.2506
