faithfulness,naturalness,score
0.4297,0.4669,0.2006
0.5957,0.5007,0.2983
0.5840,0.6125,0.3577
0.5014,0.5065,0.2540
0.6395,0.5683,0.3634
0.6731,0.6532,0.4397
0.4995,0.4515,0.2255
0.7017,0.6285,0.4410
0.6275,0.5374,0.3372
0.6522,0.6206,0.4048
0.6765,0.6392,0.4324
0.3239,0.4742,0.1536
0.5723,0.5263,0.3012
0.4569,0.4925,0.2250
0.4035,0.4734,0.1910
0.5933,0.6256,0.3712
0.5319,0.5569,0.2962
0.6623,0.6649,0.4404
0.4576,0.4613,0.2111
0.5680,0.6009,0.3413
0.6034,0.5282,0.3188
0.5664,0.5492,0.3110
0.4815,0.5409,0.2604
0.3849,0.5106,0.1965
0.6656,0.6276,0.4178
0.6045,0.5553,0.3357
0.5634,0.5633,0.3174
0.4520,0.5035,0.2276
0.6526,0.6646,0.4337
0.6096,0.5688,0.3467
0.5064,0.5293,0.2680
0.4729,0.4137,0.1956
0.5457,0.5731,0.3127
0.4827,0.4915,0.2373
0.4983,0.5145,0.2564
0.5122,0.5130,0.2627
0.6239,0.5801,0.3619
0.5975,0.6338,0.3787
0.5278,0.5746,0.3033
0.6570,0.5452,0.3582
0.4261,0.4798,0.2045
0.5138,0.5454,0.2802
0.6279,0.6466,0.4060
0.4307,0.5299,0.2282
0.5227,0.5494,0.2872
0.4441,0.5210,0.2314
0.5655,0.5022,0.2840
0.5069,0.5192,0.2632
0.6976,0.6225,0.4343
0.6584,0.4922,0.3241
0.6129,0.6408,0.3928
0.7407,0.6403,0.4743
0.5859,0.5729,0.3356
0.6526,0.6229,0.4065
0.5421,0.4695,0.2545
0.4621,0.4537,0.2096
0.5378,0.5281,0.2840
0.5951,0.6101,0.3631
0.6081,0.5707,0.3470
0.4672,0.4860,0.2270
0.3658,0.4851,0.1775
0.4852,0.4988,0.2420
0.5596,0.5422,0.3034
0.6226,0.5567,0.3466
0.6438,0.5347,0.3442
0.4947,0.4679,0.2315
0.6873,0.5886,0.4046
0.5106,0.4779,0.2440
0.6297,0.6046,0.3807
0.5371,0.5326,0.2861
0.6461,0.6369,0.4115
0.4795,0.5692,0.2729
0.5682,0.5073,0.2882
0.6379,0.5906,0.3768
0.3870,0.4912,0.1901
0.4244,0.5552,0.2356
0.5797,0.6285,0.3643
0.4469,0.5514,0.2464
0.4768,0.4839,0.2307
0.6431,0.5716,0.3676
0.5567,0.6025,0.3354
0.4076,0.5646,0.2302
0.4301,0.5422,0.2332
0.6958,0.5219,0.3631
0.6884,0.6533,0.4497
0.5197,0.5202,0.2703
0.4105,0.4706,0.1932
0.5407,0.4942,0.2672
0.4768,0.4823,0.2299
0.4635,0.4608,0.2136
0.7128,0.6026,0.4296
0.6826,0.6267,0.4278
0.4493,0.4943,0.2221
0.5268,0.5014,0.2642
0.6263,0.6299,0.3945
0.5252,0.5678,0.2982
0.6670,0.6171,0.4116
0.6204,0.6058,0.3758
0.6578,0.5536,0.3641
0.6046,0.6056,0.3661
