faithfulness,naturalness,score
0.7877,0.5628,0.4434
0.8643,0.6405,0.5535
0.8072,0.5252,0.4240
0.8069,0.5694,0.4595
0.6488,0.4968,0.3224
0.7152,0.5254,0.3758
0.8003,0.6049,0.4841
0.8094,0.5749,0.4653
0.8111,0.5543,0.4496
0.8798,0.5939,0.5225
0.8867,0.6313,0.5598
0.8435,0.6105,0.5149
0.8489,0.5386,0.4572
0.8428,0.6006,0.5062
0.8426,0.5487,0.4623
0.8604,0.6454,0.5553
0.8187,0.5429,0.4445
0.7838,0.4938,0.3870
0.7724,0.4440,0.3429
0.8677,0.6145,0.5332
0.8050,0.5411,0.4356
0.8040,0.5255,0.4225
0.7463,0.5097,0.3804
0.7891,0.5041,0.3978
0.8657,0.5692,0.4927
0.8230,0.6268,0.5159
0.7503,0.5147,0.3862
0.8106,0.5382,0.4362
0.7395,0.4941,0.3654
0.8568,0.6213,0.5323
0.7790,0.4607,0.3588
0.8905,0.6518,0.5804
0.7186,0.5023,0.3609
0.8517,0.5103,0.4346
0.8441,0.5692,0.4805
0.7928,0.5221,0.4139
0.8477,0.5971,0.5062
0.7719,0.5409,0.4175
0.7690,0.5604,0.4309
0.8057,0.5173,0.4168
0.9149,0.6297,0.5761
0.8330,0.5275,0.4395
0.7225,0.4317,0.3119
0.7716,0.5189,0.4004
0.8636,0.5871,0.5071
0.8380,0.6241,0.5230
0.8272,0.5179,0.4284
0.7338,0.4863,0.3568
0.8594,0.6624,0.5693
0.7740,0.5026,0.3890
0.6863,0.4299,0.2950
0.8722,0.5528,0.4822
0.8204,0.5163,0.4236
0.8113,0.5023,0.4075
0.6906,0.4219,0.2914
0.7955,0.6269,0.4987
0.9042,0.5199,0.4701
0.8125,0.5752,0.4674
0.8535,0.5957,0.5084
0.8056,0.6001,0.4834
0.7778,0.5478,0.4261
0.7458,0.5447,0.4062
0.8636,0.5884,0.5081
0.7922,0.5329,0.4221
0.8618,0.6243,0.5380
0.7986,0.5310,0.4240
0.8280,0.6769,0.5604
0.7995,0.5945,0.4753
0.7885,0.5075,0.4002
0.7977,0.5390,0.4300
0.8511,0.5408,0.4603
0.8394,0.6079,0.5103
0.8624,0.6120,0.5278
0.8149,0.5115,0.4169
0.7633,0.4858,0.3708
0.7928,0.5989,0.4748
0.8374,0.5313,0.4449
0.8617,0.6023,0.5190
0.7666,0.4858,0.3724
0.8566,0.6318,0.5412
0.7725,0.5752,0.4443
0.7966,0.5224,0.4161
0.8307,0.5602,0.4654
0.8323,0.5432,0.4521
0.8431,0.5899,0.4973
0.7200,0.4657,0.3353
0.7815,0.5723,0.4472
0.8012,0.5450,0.4366
0.7858,0.4969,0.3905
0.8497,0.6377,0.5418
0.8230,0.5802,0.4775
0.8277,0.5791,0.4793
0.8186,0.5901,0.4831
0.7367,0.4226,0.3113
0.7790,0.5091,0.3966
0.8863,0.6600,0.5850
0.8082,0.5686,0.4596
0.8674,0.5683,0.4930
0.8177,0.5819,0.4759
0.7971,0.4530,0.3611
