faithfulness,naturalness,score
0.5703,0.4917,0.2804
0.5902,0.4264,0.2517
0.4550,0.5973,0.2718
0.5394,0.5146,0.2776
0.5990,0.4636,0.2777
0.5955,0.4985,0.2968
0.6059,0.4372,0.2649
0.6488,0.5156,0.3345
0.4131,0.5370,0.2218
0.4778,0.6311,0.3015
0.7217,0.5227,0.3772
0.5978,0.5675,0.3392
0.5069,0.4718,0.2391
0.5237,0.5766,0.3020
0.5210,0.6490,0.3381
0.7087,0.5436,0.3852
0.5568,0.5748,0.3201
0.6041,0.4729,0.2857
0.6766,0.5169,0.3497
0.6434,0.6289,0.4046
0.6292,0.4931,0.3102
0.5606,0.4560,0.2556
0.4334,0.4783,0.2073
0.6955,0.5291,0.3680
0.6317,0.5331,0.3368
0.5915,0.4007,0.2370
0.4904,0.6775,0.3322
0.5037,0.3993,0.2011
0.5964,0.5039,0.3005
0.6698,0.5106,0.3420
0.5809,0.4413,0.2564
0.4145,0.4562,0.1891
0.5089,0.5082,0.2587
0.4312,0.4826,0.2081
0.5687,0.4625,0.2631
0.6725,0.4557,0.3065
0.6028,0.4690,0.2827
0.4464,0.5428,0.2423
0.5948,0.4463,0.2655
0.3829,0.4801,0.1838
0.7428,0.4376,0.3251
0.4214,0.5935,0.2501
0.5435,0.5778,0.3140
0.4896,0.5497,0.2691
0.5846,0.6704,0.3920
0.6679,0.4033,0.2694
0.5591,0.5846,0.3269
0.4282,0.4666,0.1998
0.6653,0.5016,0.3337
0.4943,0.6622,0.3273
0.5754,0.4602,0.2648
0.5684,0.7163,0.4071
0.6137,0.4684,0.2874
0.4596,0.5899,0.2711
0.5340,0.4982,0.2661
0.4571,0.4730,0.2162
0.4263,0.3932,0.1676
0.4064,0.4817,0.1958
0.5012,0.5984,0.2999
0.4011,0.4677,0.1876
0.6950,0.4192,0.2913
0.4217,0.3932,0.1658
0.4126,0.3901,0.1610
0.5539,0.6073,0.3364
0.6921,0.4746,0.3285
0.4154,0.3997,0.1660
0.5246,0.5137,0.2695
0.5303,0.4582,0.2430
0.4838,0.4066,0.1967
0.5723,0.5493,0.3144
0.6734,0.5831,0.3927
0.5617,0.5259,0.2954
0.3845,0.4574,0.1758
0.6838,0.4662,0.3188
0.5223,0.4765,0.2489
0.4242,0.4882,0.2071
0.5821,0.4318,0.2514
0.4358,0.4678,0.2039
0.4496,0.4343,0.1953
0.4455,0.5610,0.2499
0.4860,0.4439,0.2157
0.5415,0.4768,0.2582
0.6901,0.4196,0.2896
0.6387,0.3699,0.2363
0.5450,0.6084,0.3316
0.5248,0.6322,0.3318
0.6406,0.4349,0.2786
0.6110,0.4977,0.3041
0.6161,0.4493,0.2768
0.4205,0.4903,0.2062
0.5333,0.4594,0.2450
0.4532,0.5884,0.2666
0.4763,0.6238,0.2971
0.4610,0.4712,0.2172
0.5197,0.6475,0.3365
0.6695,0.4524,0.3029
0.4419,0.3984,0.1761
0.4818,0.4404,0.2122
0.6425,0.5335,0.3427
0.4636,0.4556,0.2112
