faithfulness,naturalness,score
0.3473,0.4291,0.1490
0.4040,0.5069,0.2048
0.4808,0.5527,0.2657
0.4164,0.5247,0.2185
0.4306,0.5620,0.2420
0.3991,0.5386,0.2149
0.4525,0.6017,0.2723
0.3817,0.5487,0.2094
0.4342,0.4913,0.2133
0.2955,0.4358,0.1288
0.4786,0.5816,0.2784
0.4462,0.5246,0.2341
0.4039,0.5398,0.2180
0.4754,0.5791,0.2753
0.4499,0.4942,0.2223
0.4336,0.5812,0.2520
0.4233,0.5204,0.2203
0.3740,0.5436,0.2033
0.4430,0.5223,0.2314
0.4527,0.5218,0.2362
0.4036,0.5619,0.2268
0.4521,0.5356,0.2422
0.4631,0.4657,0.2156
0.4217,0.5202,0.2193
0.3756,0.4741,0.1781
0.4489,0.4972,0.2232
0.4413,0.5545,0.2447
0.3771,0.5093,0.1921
0.3591,0.5119,0.1838
0.4205,0.5194,0.2184
0.4657,0.4987,0.2323
0.4100,0.4815,0.1974
0.4285,0.4966,0.2128
0.4379,0.5424,0.2375
0.3989,0.5198,0.2073
0.4539,0.5167,0.2345
0.4284,0.5321,0.2279
0.3908,0.4917,0.1921
0.4991,0.6084,0.3037
0.3988,0.4767,0.1901
0.4194,0.4441,0.1862
0.3857,0.4829,0.1862
0.4476,0.5012,0.2244
0.3952,0.5307,0.2097
0.4255,0.5119,0.2178
0.3289,0.4474,0.1471
0.4086,0.5335,0.2180
0.4450,0.5153,0.2293
0.4292,0.5409,0.2322
0.4367,0.5074,0.2216
0.4054,0.5286,0.2143
0.4700,0.6158,0.2894
0.3847,0.5086,0.1957
0.5042,0.6390,0.3222
0.4568,0.5116,0.2337
0.4399,0.4732,0.2081
0.4596,0.5357,0.2462
0.5313,0.5703,0.3030
0.4908,0.5736,0.2816
0.4595,0.5063,0.2326
0.4810,0.5310,0.2554
0.3602,0.4320,0.1556
0.4276,0.5002,0.2139
0.3886,0.5061,0.1967
0.4450,0.4820,0.2145
0.4688,0.5946,0.2788
0.4691,0.5742,0.2694
0.4153,0.3730,0.1549
0.4720,0.5335,0.2518
0.5120,0.6213,0.3181
0.4566,0.5300,0.2420
0.4466,0.5637,0.2517
0.3430,0.4753,0.1630
0.3919,0.4113,0.1612
0.3892,0.5114,0.1990
0.4723,0.5728,0.2706
0.4160,0.4953,0.2060
0.3567,0.4797,0.1711
0.3962,0.5320,0.2108
0.3879,0.5107,0.1981
0.3917,0.5102,0.1998
0.4839,0.5614,0.2717
0.4709,0.5664,0.2667
0.4689,0.5676,0.2662
0.4335,0.5068,0.2197
0.3978,0.4766,0.1896
0.3891,0.4491,0.1747
0.3859,0.4697,0.1813
0.4034,0.5206,0.2100
0.5172,0.6259,0.3237
0.4429,0.5089,0.2254
0.3777,0.5320,0.2009
0.3692,0.4473,0.1651
0.4916,0.5575,0.2741
0.5504,0.6213,0.3419
0.4395,0.5166,0.2270
0.4482,0.5485,0.2458
0.3787,0.4129,0.1564
0.4022,0.4914,0.1976
0.5128,0.5804,0.2976
