faithfulness,naturalness,score
0.7798,0.5341,0.4165
0.7049,0.5169,0.3643
0.6565,0.4232,0.2779
0.5731,0.3633,0.2082
0.7417,0.5437,0.4033
0.5517,0.3809,0.2102
0.6683,0.4532,0.3029
0.6925,0.4929,0.3413
0.7372,0.5359,0.3950
0.6112,0.4409,0.2695
0.6457,0.4573,0.2953
0.5912,0.4202,0.2484
0.6763,0.4922,0.3328
0.6615,0.4924,0.3257
0.6695,0.5320,0.3562
0.7065,0.4924,0.3478
0.6966,0.4620,0.3218
0.5793,0.3665,0.2123
0.6777,0.5072,0.3437
0.7041,0.4807,0.3385
0.7090,0.5030,0.3566
0.6811,0.4966,0.3382
0.7065,0.4849,0.3426
0.7541,0.5155,0.3887
0.7070,0.4860,0.3436
0.4844,0.4613,0.2235
0.6313,0.4662,0.2943
0.6112,0.4404,0.2691
0.4913,0.4003,0.1967
0.6073,0.4729,0.2872
0.5393,0.3926,0.2118
0.7772,0.5659,0.4398
0.4979,0.3719,0.1852
0.7261,0.5907,0.4289
0.7031,0.5515,0.3877
0.6801,0.5097,0.3466
0.7174,0.4667,0.3348
0.6534,0.4614,0.3014
0.6938,0.4865,0.3376
0.5810,0.4306,0.2502
0.7223,0.5247,0.3790
0.7330,0.5854,0.4291
0.5023,0.4092,0.2055
0.7657,0.5102,0.3907
0.6515,0.5038,0.3282
0.7747,0.5540,0.4292
0.6308,0.4735,0.2987
0.7140,0.5274,0.3766
0.7621,0.5666,0.4319
0.6189,0.4437,0.2746
0.4642,0.4003,0.1858
0.7568,0.4722,0.3574
0.6252,0.4569,0.2857
0.6585,0.4559,0.3002
0.5317,0.4288,0.2280
0.5728,0.4927,0.2822
0.7136,0.4787,0.3416
0.6882,0.4673,0.3216
0.6930,0.4528,0.3138
0.6255,0.4938,0.3089
0.6680,0.5213,0.3483
0.5796,0.3952,0.2291
0.6557,0.4871,0.3194
0.6464,0.4946,0.3197
0.7141,0.4704,0.3359
0.6464,0.4701,0.3039
0.7266,0.5025,0.3651
0.7274,0.5230,0.3804
0.5858,0.4362,0.2555
0.7695,0.4778,0.3677
0.6871,0.4279,0.2940
0.6388,0.5008,0.3199
0.7111,0.5095,0.3623
0.6310,0.4686,0.2956
0.7445,0.5245,0.3905
0.7188,0.5527,0.3973
0.6800,0.5371,0.3653
0.6030,0.4300,0.2593
0.4805,0.3432,0.1649
0.6698,0.4681,0.3135
0.5723,0.3796,0.2172
0.6612,0.4460,0.2949
0.6355,0.4969,0.3158
0.7133,0.4934,0.3519
0.6860,0.5008,0.3435
0.6566,0.4228,0.2776
0.7398,0.5951,0.4402
0.7097,0.4941,0.3507
0.7616,0.5336,0.4064
0.7297,0.5245,0.3827
0.6964,0.4964,0.3457
0.6375,0.4649,0.2964
0.6784,0.4791,0.3250
0.5214,0.4070,0.2122
0.7541,0.5219,0.3936
0.5819,0.4157,0.2419
0.5529,0.5263,0.2910
0.7411,0.5144,0.3812
0.7345,0.5023,0.3690
0.7454,0.4821,0.3593
