faithfulness,naturalness,score
0.3997,0.3530,0.1411
0.4638,0.3108,0.1441
0.3834,0.3113,0.1193
0.4272,0.3972,0.1697
0.4114,0.3447,0.1418
0.4556,0.3480,0.1586
0.4419,0.4374,0.1933
0.5195,0.4500,0.2338
0.3353,0.3208,0.1076
0.4575,0.3689,0.1687
0.5126,0.4116,0.2110
0.4532,0.4171,0.1890
0.4979,0.3534,0.1760
0.5175,0.4536,0.2348
0.4436,0.3643,0.1616
0.4100,0.3851,0.1579
0.4872,0.3700,0.1802
0.4048,0.4369,0.1768
0.4073,0.3904,0.1590
0.4836,0.3971,0.1920
0.5328,0.3781,0.2015
0.5107,0.4659,0.2379
0.5511,0.4128,0.2275
0.4387,0.4908,0.2153
0.3792,0.3461,0.1312
0.4442,0.3897,0.1731
0.4284,0.4324,0.1853
0.4015,0.3239,0.1300
0.5009,0.4530,0.2269
0.4781,0.4154,0.1986
0.4118,0.3488,0.1436
0.4135,0.3715,0.1536
0.4276,0.3752,0.1605
0.4329,0.3942,0.1706
0.4704,0.3027,0.1424
0.4924,0.4056,0.1997
0.4016,0.3507,0.1408
0.4750,0.4432,0.2105
0.3848,0.3445,0.1325
0.4548,0.3774,0.1717
0.4366,0.3590,0.1567
0.4791,0.2888,0.1384
0.4874,0.3755,0.1830
0.5125,0.4138,0.2121
0.4218,0.4254,0.1794
0.4312,0.3614,0.1558
0.3756,0.3451,0.1296
0.4719,0.3203,0.1512
0.4034,0.3311,0.1336
0.5374,0.4154,0.2232
0.4874,0.3937,0.1919
0.4428,0.4058,0.1797
0.4628,0.3800,0.1758
0.3826,0.3740,0.1431
0.3689,0.3959,0.1460
0.4240,0.3774,0.1600
0.4671,0.3877,0.1811
0.4899,0.4253,0.2084
0.3673,0.3738,0.1373
0.3709,0.3616,0.1341
0.4651,0.4585,0.2133
0.4388,0.4245,0.1863
0.3956,0.4064,0.1608
0.4151,0.4154,0.1724
0.4168,0.4202,0.1751
0.4428,0.3784,0.1676
0.4520,0.3767,0.1703
0.4452,0.4526,0.2015
0.3826,0.3644,0.1394
0.3974,0.3686,0.1465
0.4871,0.4106,0.2000
0.4290,0.3870,0.1660
0.4395,0.3864,0.1698
0.4293,0.3343,0.1435
0.4385,0.4213,0.1847
0.4698,0.3756,0.1765
0.3575,0.3323,0.1188
0.3947,0.3710,0.1464
0.4831,0.4589,0.2217
0.4450,0.3482,0.1550
0.3867,0.3404,0.1316
0.4099,0.3642,0.1493
0.4961,0.3772,0.1871
0.4978,0.3985,0.1984
0.4305,0.3873,0.1667
0.3262,0.3356,0.1095
0.3685,0.4176,0.1539
0.4382,0.4387,0.1922
0.5364,0.4273,0.2292
0.4346,0.3654,0.1588
0.4919,0.4317,0.2123
0.4640,0.3938,0.1827
0.4807,0.3981,0.1914
0.3462,0.3548,0.1228
0.4402,0.3800,0.1673
0.4053,0.2882,0.1168
0.4437,0.3774,0.1675
0.3582,0.2993,0.1072
0.3934,0.3728,0.1467
0.3892,0.4379,0.1704
