faithfulness,naturalness,score
0.3931,0.4105,0.1614
0.4684,0.4194,0.1965
0.5381,0.4002,0.2154
0.4404,0.5027,0.2214
0.4454,0.4681,0.2085
0.4883,0.4392,0.2144
0.4220,0.4068,0.1717
0.4110,0.3143,0.1292
0.4731,0.5004,0.2367
0.4161,0.4269,0.1776
0.4755,0.4681,0.2226
0.6428,0.4615,0.2966
0.4951,0.4724,0.2339
0.4372,0.4861,0.2125
0.6825,0.4922,0.3360
0.4205,0.4430,0.1863
0.5583,0.4605,0.2571
0.4915,0.4251,0.2089
0.4652,0.4279,0.1991
0.5771,0.4939,0.2850
0.4468,0.4097,0.1830
0.6267,0.5276,0.3307
0.4392,0.5080,0.2232
0.4391,0.4729,0.2076
0.4628,0.3783,0.1751
0.5336,0.4669,0.2491
0.5337,0.4163,0.2222
0.5611,0.4754,0.2667
0.4282,0.4406,0.1886
0.4536,0.4698,0.2131
0.4091,0.4350,0.1780
0.4459,0.4206,0.1875
0.4721,0.4518,0.2133
0.4677,0.4084,0.1910
0.4612,0.3591,0.1656
0.4314,0.4083,0.1761
0.4038,0.4116,0.1662
0.4200,0.4369,0.1835
0.4901,0.3829,0.1877
0.4403,0.4246,0.1869
0.3786,0.3962,0.1500
0.4371,0.4631,0.2024
0.5024,0.4764,0.2394
0.4456,0.4547,0.2026
0.4551,0.4440,0.2020
0.5546,0.4654,0.2581
0.5021,0.4384,0.2201
0.4356,0.4498,0.1960
0.4725,0.4400,0.2079
0.5869,0.5110,0.2999
0.5442,0.4218,0.2295
0.4499,0.4611,0.2074
0.4941,0.4887,0.2415
0.3961,0.4280,0.1695
0.4234,0.4198,0.1778
0.4663,0.3941,0.1837
0.6389,0.5114,0.3267
0.4816,0.4320,0.2080
0.4919,0.4480,0.2203
0.5202,0.3819,0.1987
0.4670,0.4254,0.1986
0.4631,0.4634,0.2146
0.4877,0.4401,0.2147
0.5319,0.3580,0.1904
0.5103,0.5248,0.2678
0.4439,0.4180,0.1856
0.5522,0.3813,0.2106
0.4941,0.4149,0.2050
0.4271,0.4322,0.1846
0.4092,0.4651,0.1903
0.4083,0.4082,0.1667
0.4947,0.4407,0.2180
0.5297,0.4425,0.2344
0.4265,0.5063,0.2159
0.3769,0.3362,0.1267
0.4776,0.4219,0.2015
0.4654,0.4409,0.2052
0.5726,0.4563,0.2613
0.6208,0.5040,0.3129
0.5215,0.6084,0.3173
0.4349,0.3973,0.1728
0.4282,0.4373,0.1872
0.5313,0.4735,0.2516
0.4695,0.4162,0.1954
0.5911,0.4106,0.2427
0.4242,0.4186,0.1776
0.3899,0.5081,0.1981
0.5323,0.3821,0.2034
0.4833,0.4201,0.2030
0.5269,0.4447,0.2343
0.4951,0.4388,0.2173
0.5250,0.4609,0.2420
0.4702,0.3905,0.1836
0.3989,0.3921,0.1564
0.4557,0.3644,0.1661
0.4789,0.4647,0.2225
0.4164,0.4276,0.1780
0.4365,0.4270,0.1864
0.4353,0.4346,0.1892
0.6882,0.5061,0.3483
