faithfulness,naturalness,score
0.5832,0.5745,0.3350
0.3869,0.4563,0.1766
0.4289,0.4145,0.1778
0.5141,0.5765,0.2964
0.5076,0.4512,0.2290
0.4702,0.5343,0.2512
0.4974,0.5781,0.2875
0.5191,0.6173,0.3204
0.5034,0.5020,0.2527
0.4747,0.4999,0.2373
0.5327,0.6006,0.3199
0.5059,0.4786,0.2421
0.4759,0.5487,0.2611
0.5367,0.5335,0.2863
0.4703,0.4925,0.2316
0.4375,0.5016,0.2195
0.5083,0.5265,0.2676
0.5067,0.5393,0.2732
0.5666,0.5606,0.3177
0.5027,0.4536,0.2281
0.5316,0.4791,0.2547
0.4280,0.4459,0.1908
0.4451,0.4950,0.2204
0.5133,0.5423,0.2784
0.4698,0.4399,0.2066
0.5543,0.5541,0.3071
0.5157,0.4885,0.2519
0.4357,0.5351,0.2331
0.4162,0.4824,0.2008
0.5446,0.4453,0.2425
0.4140,0.4170,0.1726
0.6837,0.6385,0.4365
0.5973,0.5265,0.3145
0.4303,0.4957,0.2133
0.3979,0.4314,0.1716
0.4815,0.5251,0.2529
0.4752,0.5049,0.2399
0.4670,0.5434,0.2538
0.5178,0.5258,0.2723
0.4508,0.4891,0.2205
0.5364,0.5122,0.2747
0.6093,0.6104,0.3719
0.4671,0.5213,0.2435
0.4515,0.4907,0.2215
0.6829,0.7012,0.4788
0.4727,0.5018,0.2372
0.4241,0.4940,0.2095
0.5481,0.5547,0.3040
0.3654,0.3999,0.1461
0.5580,0.5714,0.3188
0.5801,0.6144,0.3564
0.4848,0.4871,0.2361
0.5696,0.4868,0.2773
0.5388,0.5431,0.2926
0.5611,0.5023,0.2818
0.6036,0.4961,0.2994
0.5361,0.5146,0.2759
0.4587,0.4511,0.2069
0.5831,0.5283,0.3080
0.3846,0.4077,0.1568
0.4125,0.4530,0.1869
0.4743,0.4689,0.2224
0.5000,0.6222,0.3111
0.5005,0.5577,0.2791
0.4075,0.4536,0.1848
0.5568,0.4620,0.2572
0.5852,0.5644,0.3303
0.6718,0.5905,0.3967
0.4518,0.4963,0.2242
0.4515,0.4777,0.2157
0.4833,0.5848,0.2826
0.4327,0.4757,0.2058
0.4674,0.4463,0.2086
0.5238,0.5628,0.2948
0.4143,0.4864,0.2015
0.4808,0.4646,0.2234
0.4163,0.4440,0.1848
0.4551,0.4061,0.1848
0.4554,0.5076,0.2311
0.4567,0.6003,0.2741
0.5286,0.5030,0.2659
0.5132,0.5004,0.2568
0.4235,0.4851,0.2054
0.4985,0.5046,0.2516
0.4835,0.5462,0.2641
0.4418,0.5087,0.2247
0.5414,0.5411,0.2929
0.6153,0.5381,0.3311
0.4701,0.4949,0.2327
0.7066,0.6419,0.4536
0.3749,0.3983,0.1494
0.4625,0.5011,0.2317
0.4805,0.5607,0.2694
0.4701,0.6090,0.2863
0.4677,0.5978,0.2796
0.5346,0.5545,0.2964
0.4807,0.4948,0.2379
0.3935,0.4152,0.1634
0.4284,0.5264,0.2255
0.5567,0.5642,0.3141
