faithfulness,naturalness,score
0.5907,0.4458,0.2633
0.4864,0.4102,0.1995
0.5253,0.4200,0.2206
0.6465,0.5353,0.3461
0.6601,0.5754,0.3798
0.6065,0.4285,0.2599
0.5334,0.4821,0.2572
0.6942,0.4385,0.3044
0.5044,0.5434,0.2741
0.4988,0.5553,0.2770
0.5340,0.5079,0.2712
0.4714,0.4644,0.2189
0.5256,0.5175,0.2720
0.4889,0.5066,0.2477
0.6489,0.5018,0.3256
0.4496,0.4390,0.1974
0.5376,0.4983,0.2679
0.4453,0.4344,0.1934
0.5130,0.4549,0.2334
0.5363,0.5548,0.2976
0.5658,0.4577,0.2589
0.5795,0.5269,0.3053
0.5186,0.4494,0.2331
0.7108,0.5613,0.3990
0.5639,0.4680,0.2639
0.5593,0.4104,0.2296
0.5567,0.4945,0.2753
0.4170,0.4763,0.1986
0.4859,0.5439,0.2642
0.6073,0.4939,0.3000
0.5614,0.5035,0.2827
0.5945,0.5740,0.3412
0.5275,0.5693,0.3003
0.4914,0.4485,0.2204
0.5491,0.5593,0.3071
0.5343,0.4831,0.2581
0.5761,0.5822,0.3354
0.4692,0.3496,0.1640
0.5795,0.5225,0.3028
0.6407,0.5638,0.3612
0.5261,0.5089,0.2677
0.5557,0.5276,0.2932
0.4686,0.4934,0.2312
0.5794,0.5103,0.2956
0.5837,0.5255,0.3068
0.5506,0.4779,0.2631
0.4997,0.4650,0.2324
0.7136,0.5126,0.3658
0.5824,0.5020,0.2923
0.4716,0.5111,0.2410
0.5817,0.5759,0.3350
0.5246,0.5864,0.3076
0.5267,0.4690,0.2470
0.4950,0.5436,0.2691
0.5047,0.5394,0.2722
0.5138,0.4519,0.2322
0.6508,0.5263,0.3425
0.5206,0.5668,0.2951
0.5262,0.5488,0.2888
0.5033,0.4264,0.2146
0.4997,0.5072,0.2535
0.6207,0.4669,0.2898
0.4941,0.5400,0.2668
0.6650,0.6165,0.4100
0.6346,0.4641,0.2945
0.4883,0.5565,0.2717
0.6038,0.5607,0.3386
0.5920,0.5308,0.3142
0.6592,0.4807,0.3168
0.4513,0.5870,0.2649
0.4781,0.4667,0.2231
0.5218,0.5103,0.2662
0.6101,0.4125,0.2517
0.5841,0.5072,0.2963
0.6643,0.6099,0.4051
0.5221,0.5828,0.3043
0.6057,0.4662,0.2824
0.7086,0.5470,0.3876
0.6242,0.6038,0.3769
0.5826,0.5627,0.3279
0.4921,0.4074,0.2005
0.5213,0.5423,0.2827
0.6356,0.4513,0.2869
0.6291,0.5688,0.3578
0.5499,0.5802,0.3191
0.4769,0.5365,0.2559
0.6125,0.5144,0.3151
0.6056,0.4948,0.2997
0.4855,0.5366,0.2605
0.4630,0.5440,0.2518
0.5514,0.5557,0.3064
0.5777,0.4402,0.2543
0.5352,0.4404,0.2357
0.4869,0.5070,0.2469
0.5238,0.5392,0.2824
0.5536,0.4708,0.2606
0.4996,0.4352,0.2174
0.5208,0.5157,0.2686
0.5774,0.5459,0.3152
0.4600,0.5216,0.2399
