faithfulness,naturalness,score
0.6695,0.4767,0.3191
0.4531,0.3964,0.1796
0.5370,0.5304,0.2848
0.4420,0.4035,0.1783
0.5411,0.5555,0.3006
0.5706,0.4720,0.2693
0.7453,0.5963,0.4444
0.5902,0.4278,0.2525
0.5312,0.5047,0.2681
0.8182,0.6401,0.5237
0.5166,0.5853,0.3024
0.5378,0.5814,0.3127
0.5518,0.4179,0.2306
0.4645,0.4799,0.2229
0.7742,0.6191,0.4793
0.4803,0.4928,0.2367
0.4523,0.5059,0.2288
0.4193,0.4549,0.1907
0.4193,0.4388,0.1840
0.4731,0.4849,0.2294
0.6224,0.5290,0.3292
0.5711,0.4305,0.2458
0.5256,0.4647,0.2442
0.4785,0.4665,0.2232
0.6989,0.5917,0.4136
0.6376,0.5761,0.3673
0.6358,0.6108,0.3883
0.4688,0.4168,0.1954
0.4883,0.4234,0.2068
0.4525,0.5452,0.2467
0.6804,0.4728,0.3217
0.7954,0.6458,0.5137
0.6029,0.5465,0.3295
0.5662,0.4643,0.2629
0.5094,0.5752,0.2930
0.7055,0.5669,0.4000
0.5775,0.4473,0.2583
0.4825,0.4707,0.2271
0.5752,0.5494,0.3160
0.5095,0.4543,0.2315
0.5574,0.5014,0.2795
0.4337,0.4450,0.1930
0.6420,0.4521,0.2903
0.4601,0.4772,0.2196
0.5964,0.6589,0.3930
0.5224,0.5623,0.2937
0.4676,0.5303,0.2480
0.6802,0.5352,0.3641
0.5817,0.4921,0.2863
0.4996,0.5147,0.2571
0.4708,0.5310,0.2500
0.6470,0.5785,0.3743
0.7764,0.5241,0.4069
0.7031,0.5669,0.3986
0.4287,0.4519,0.1938
0.5882,0.4784,0.2814
0.7028,0.6067,0.4264
0.7786,0.6070,0.4726
0.5183,0.4871,0.2525
0.4959,0.5518,0.2736
0.6620,0.5591,0.3701
0.5718,0.4749,0.2715
0.6627,0.4627,0.3066
0.7733,0.6671,0.5158
0.5113,0.4270,0.2183
0.5080,0.5493,0.2791
0.6537,0.5308,0.3470
0.5198,0.4958,0.2577
0.4351,0.4271,0.1858
0.5737,0.5523,0.3169
0.5800,0.5394,0.3129
0.4620,0.4647,0.2147
0.5474,0.5180,0.2835
0.5204,0.4855,0.2527
0.5706,0.4840,0.2762
0.4044,0.4961,0.2006
0.7132,0.4747,0.3386
0.6636,0.4999,0.3317
0.4746,0.5763,0.2735
0.5686,0.4966,0.2824
0.7300,0.5548,0.4050
0.5889,0.4906,0.2889
0.6005,0.6152,0.3694
0.3888,0.4829,0.1877
0.5505,0.5283,0.2908
0.4190,0.4973,0.2084
0.5197,0.5563,0.2891
0.4652,0.4610,0.2145
0.7125,0.5284,0.3765
0.7108,0.4972,0.3534
0.6329,0.5120,0.3241
0.5748,0.5959,0.3425
0.4253,0.4458,0.1896
0.5897,0.4974,0.2933
0.4309,0.5134,0.2212
0.5378,0.4295,0.2310
0.7479,0.5515,0.4125
0.4806,0.4734,0.2275
0.4609,0.4870,0.2245
0.6056,0.5975,0.3619
