faithfulness,naturalness,score
0.7965,0.5350,0.4262
0.7932,0.5224,0.4144
0.7395,0.4496,0.3325
0.8063,0.5448,0.4393
0.8100,0.6381,0.5169
0.8469,0.5720,0.4844
0.8136,0.5149,0.4189
0.8153,0.5475,0.4464
0.8561,0.5808,0.4972
0.8030,0.5464,0.4388
0.7730,0.5824,0.4502
0.8337,0.5401,0.4502
0.7938,0.5594,0.4441
0.7771,0.5577,0.4334
0.7828,0.5079,0.3976
0.7483,0.4955,0.3708
0.8261,0.5480,0.4527
0.7363,0.5416,0.3988
0.7842,0.4981,0.3906
0.7931,0.4697,0.3725
0.8101,0.5334,0.4321
0.6888,0.4622,0.3184
0.7264,0.4814,0.3496
0.8012,0.5269,0.4221
0.8330,0.5857,0.4879
0.8120,0.5375,0.4364
0.8001,0.5735,0.4589
0.8138,0.5413,0.4405
0.7835,0.4804,0.3764
0.8523,0.6187,0.5273
0.8358,0.5567,0.4653
0.8042,0.5381,0.4327
0.7744,0.4880,0.3779
0.8131,0.5378,0.4373
0.7713,0.5327,0.4109
0.7849,0.5551,0.4356
0.7409,0.4910,0.3638
0.8378,0.5687,0.4765
0.8104,0.5131,0.4158
0.8405,0.5599,0.4705
0.7972,0.5471,0.4361
0.7867,0.5334,0.4196
0.8171,0.5438,0.4443
0.8306,0.5248,0.4359
0.8076,0.5390,0.4353
0.8148,0.6011,0.4898
0.7600,0.4895,0.3720
0.7086,0.4030,0.2856
0.8052,0.5658,0.4556
0.7597,0.4283,0.3254
0.7684,0.4835,0.3715
0.8110,0.5212,0.4227
0.7777,0.5360,0.4168
0.7678,0.5061,0.3886
0.7120,0.4196,0.2988
0.7995,0.6101,0.4878
0.8021,0.4643,0.3724
0.8071,0.5195,0.4193
0.7774,0.5122,0.3981
0.7687,0.4848,0.3727
0.7925,0.5580,0.4422
0.8091,0.5704,0.4615
0.7578,0.5020,0.3804
0.7537,0.4917,0.3706
0.8558,0.5890,0.5040
0.8044,0.5222,0.4201
0.7683,0.5598,0.4301
0.8158,0.4713,0.3845
0.7892,0.4684,0.3697
0.8027,0.5439,0.4366
0.7551,0.4930,0.3722
0.8387,0.5787,0.4854
0.7087,0.4203,0.2979
0.8122,0.5178,0.4205
0.7657,0.4743,0.3632
0.7579,0.4950,0.3751
0.8197,0.5123,0.4200
0.7489,0.4836,0.3622
0.7939,0.4936,0.3919
0.7803,0.6128,0.4781
0.7389,0.4260,0.3148
0.8087,0.5094,0.4119
0.8076,0.4701,0.3796
0.7666,0.5291,0.4056
0.7584,0.4787,0.3630
0.7312,0.5157,0.3771
0.8249,0.5120,0.4223
0.9147,0.6358,0.5816
0.8062,0.5280,0.4257
0.7435,0.4440,0.3301
0.7275,0.4398,0.3200
0.7918,0.4754,0.3764
0.6730,0.4271,0.2874
0.8292,0.5776,0.4790
0.7605,0.4147,0.3153
0.8179,0.5822,0.4762
0.7733,0.5008,0.3873
0.7469,0.5159,0.3853
0.7808,0.4515,0.3525
0.7774,0.5148,0.4002
