faithfulness,naturalness,score
0.7543,0.4921,0.3712
0.7112,0.4042,0.2875
0.7644,0.4682,0.3579
0.7654,0.5013,0.3837
0.7806,0.5751,0.4489
0.7713,0.4855,0.3745
0.7314,0.5195,0.3799
0.8038,0.5736,0.4610
0.7684,0.4896,0.3762
0.6643,0.4468,0.2968
0.7652,0.5087,0.3893
0.7696,0.4566,0.3514
0.7049,0.4809,0.3390
0.7359,0.4807,0.3538
0.7933,0.5467,0.4337
0.8234,0.4728,0.3893
0.7386,0.4597,0.3395
0.7519,0.4594,0.3454
0.7782,0.5063,0.3940
0.8180,0.5380,0.4400
0.7257,0.4461,0.3237
0.6516,0.3892,0.2536
0.8185,0.5295,0.4334
0.7426,0.4563,0.3389
0.7810,0.5040,0.3936
0.7991,0.5292,0.4229
0.7542,0.4735,0.3571
0.7486,0.4891,0.3662
0.6982,0.4479,0.3127
0.7050,0.4682,0.3301
0.7248,0.4657,0.3375
0.7371,0.5061,0.3730
0.7680,0.5116,0.3929
0.7294,0.4123,0.3007
0.7233,0.4151,0.3002
0.7623,0.5029,0.3833
0.7047,0.4421,0.3115
0.7367,0.4377,0.3224
0.7480,0.5044,0.3773
0.7683,0.4751,0.3650
0.8259,0.5231,0.4320
0.7489,0.4235,0.3172
0.7371,0.4439,0.3272
0.7720,0.5225,0.4034
0.7812,0.5189,0.4054
0.7150,0.4426,0.3165
0.7177,0.3934,0.2824
0.7290,0.4354,0.3174
0.7607,0.5509,0.4191
0.7399,0.4528,0.3351
0.7560,0.4886,0.3694
0.7918,0.5126,0.4059
0.7444,0.5108,0.3802
0.7655,0.4684,0.3585
0.7248,0.4373,0.3170
0.7408,0.4618,0.3421
0.7224,0.4489,0.3243
0.7230,0.4155,0.3004
0.7765,0.4883,0.3792
0.7508,0.5005,0.3758
0.7710,0.4987,0.3845
0.7817,0.5049,0.3947
0.7310,0.4872,0.3561
0.7571,0.4834,0.3660
0.7224,0.4250,0.3070
0.7354,0.4219,0.3103
0.7584,0.4958,0.3761
0.7816,0.5520,0.4315
0.7400,0.4211,0.3116
0.7507,0.4313,0.3238
0.8130,0.5251,0.4269
0.8050,0.5826,0.4691
0.7388,0.4777,0.3529
0.7108,0.4070,0.2893
0.7732,0.5626,0.4350
0.8211,0.5501,0.4517
0.7847,0.5437,0.4266
0.7896,0.4702,0.3713
0.7189,0.4432,0.3186
0.7824,0.5059,0.3958
0.7732,0.4528,0.3501
0.7623,0.5271,0.4018
0.7116,0.4471,0.3181
0.7596,0.4154,0.3156
0.7934,0.5734,0.4549
0.7401,0.4730,0.3501
0.7098,0.4616,0.3276
0.8405,0.5982,0.5028
0.7435,0.4701,0.3495
0.6573,0.3726,0.2449
0.7848,0.5248,0.4119
0.7331,0.4430,0.3248
0.7035,0.4575,0.3218
0.7875,0.5379,0.4236
0.7368,0.4489,0.3308
0.6836,0.4652,0.3180
0.7752,0.5353,0.4150
0.6875,0.3837,0.2638
0.7808,0.5117,0.3996
0.7500,0.4488,0.3366
