faithfulness,naturalness,score
0.7858,0.6362,0.4999
0.7993,0.6663,0.5325
0.7891,0.6312,0.4981
0.7642,0.6323,0.4832
0.8317,0.6947,0.5778
0.7522,0.6514,0.4900
0.7603,0.5746,0.4368
0.7595,0.5894,0.4477
0.7612,0.6187,0.4710
0.7736,0.6017,0.4655
0.7711,0.5988,0.4617
0.7644,0.6451,0.4931
0.7993,0.6613,0.5285
0.7735,0.6273,0.4852
0.7978,0.6520,0.5202
0.7660,0.6388,0.4894
0.7811,0.6588,0.5146
0.7179,0.5664,0.4067
0.8105,0.6556,0.5313
0.7609,0.6389,0.4861
0.7883,0.6444,0.5080
0.7430,0.6339,0.4710
0.7556,0.6099,0.4609
0.7242,0.5441,0.3940
0.7894,0.6626,0.5230
0.7792,0.6467,0.5039
0.7664,0.6278,0.4811
0.7630,0.6120,0.4670
0.7381,0.5975,0.4410
0.7926,0.6843,0.5424
0.7645,0.6562,0.5017
0.7319,0.6236,0.4564
0.7448,0.6102,0.4545
0.7333,0.5949,0.4362
0.6894,0.5891,0.4062
0.7418,0.6101,0.4526
0.7388,0.5644,0.4170
0.7425,0.6210,0.4612
0.7142,0.5912,0.4222
0.7906,0.6471,0.5116
0.7826,0.6303,0.4933
0.7764,0.6084,0.4724
0.7659,0.6187,0.4739
0.8052,0.6812,0.5485
0.7483,0.6228,0.4661
0.7848,0.6166,0.4839
0.7688,0.6462,0.4968
0.7649,0.5952,0.4552
0.7442,0.6034,0.4491
0.7466,0.5952,0.4444
0.7593,0.6678,0.5071
0.7804,0.6793,0.5301
0.7629,0.6460,0.4928
0.8025,0.6545,0.5252
0.7715,0.6045,0.4664
0.7852,0.6564,0.5154
0.7648,0.6256,0.4784
0.7395,0.5614,0.4151
0.7659,0.6599,0.5054
0.7399,0.5952,0.4404
0.7393,0.6422,0.4748
0.7767,0.6530,0.5072
0.7257,0.6121,0.4442
0.7393,0.5690,0.4207
0.7881,0.6703,0.5282
0.7786,0.5759,0.4484
0.7375,0.5990,0.4418
0.7858,0.6555,0.5151
0.7787,0.6669,0.5193
0.7665,0.6419,0.4920
0.7681,0.6169,0.4738
0.7746,0.6644,0.5147
0.7321,0.6187,0.4530
0.7443,0.6418,0.4777
0.7670,0.6367,0.4884
0.7634,0.6125,0.4676
0.7810,0.6454,0.5040
0.7731,0.6397,0.4946
0.7269,0.5450,0.3962
0.7966,0.6250,0.4979
0.7798,0.6327,0.4934
0.7624,0.6446,0.4914
0.7742,0.5700,0.4413
0.7717,0.6603,0.5095
0.7340,0.6426,0.4717
0.7830,0.5998,0.4697
0.7340,0.5429,0.3985
0.7520,0.6223,0.4680
0.7742,0.6689,0.5178
0.7501,0.6027,0.4521
0.7732,0.6330,0.4894
0.7746,0.6466,0.5008
0.7558,0.5791,0.4377
0.8038,0.7061,0.5675
0.7933,0.7139,0.5663
0.7486,0.6233,0.4666
0.7882,0.6022,0.4746
0.6936,0.5953,0.4129
0.7708,0.6597,0.5085
0.7866,0.6322,0.4973
