faithfulness,naturalness
0.6033,0.6873
0.4529,0.6086
0.5530,0.5832
0.7957,0.7649
0.7505,0.6157
0.7903,0.7665
0.7026,0.6630
0.4169,0.5428
0.4294,0.5618
0.7662,0.7578
0.4890,0.5600
0.7080,0.7309
0.8007,0.7919
0.4123,0.5670
0.4630,0.4775
0.7202,0.7079
0.5357,0.5523
0.8747,0.7485
0.8497,0.8094
0.5273,0.5659
0.4711,0.5517
0.6770,0.6424
0.6676,0.6134
0.8641,0.6681
0.5754,0.6083
0.4868,0.5880
0.5235,0.6234
0.6685,0.6299
0.6761,0.5898
0.5063,0.6291
0.6615,0.5744
0.5008,0.5660
0.5031,0.5739
0.6906,0.6840
0.5389,0.6188
0.6302,0.5563
0.7421,0.7677
0.5111,0.6163
0.5949,0.5963
0.9439,0.8731
0.6045,0.6177
0.8752,0.7650
0.7906,0.7357
0.5318,0.6571
0.5906,0.6235
0.6619,0.7197
0.5462,0.5088
0.5581,0.6010
0.6192,0.6469
0.5544,0.6039
0.5336,0.5626
0.8387,0.7675
0.5506,0.6128
0.5303,0.5228
0.7638,0.7271
0.3850,0.5585
0.5840,0.6827
0.7394,0.6634
0.5461,0.5351
0.5997,0.6549
