,faithfulness,naturalness,score,motion,motion_index,selected
0,0.2922,0.3175,0.0928,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,63,False
1,0.2791,0.3489,0.0974,An_individual_touches_their_toes_and_returns_to_a_standing_position,45,False
2,0.2901,0.3385,0.0982,A_person_lifts_their_knee_to_their_chest,73,False
3,0.237,0.4216,0.0999,A_person_raises_a_knee_to_their_chest,43,False
4,0.2546,0.3967,0.101,A_person_raises_a_knee_to_their_chest,95,False
5,0.2491,0.4177,0.1041,A_person_raises_a_knee_to_their_chest,85,False
6,0.3597,0.2893,0.1041,Someone_leans_down_to_touch_their_toes_and_stands_back_up,68,False
7,0.3582,0.2993,0.1072,Someone_rolls_forward_and_gets_up,97,False
8,0.3058,0.3512,0.1074,A_person_lifts_their_knee_to_their_chest,4,False
9,0.2995,0.3586,0.1074,A_person_lifts_their_knee_to_their_chest,70,False
10,0.3353,0.3208,0.1076,Someone_rolls_forward_and_gets_up,8,False
11,0.3025,0.3581,0.1083,Someone_touches_their_toes_and_stands_back_up,89,False
12,0.2552,0.4248,0.1084,A_person_raises_a_knee_to_their_chest,72,False
13,0.3262,0.3356,0.1095,Someone_rolls_forward_and_gets_up,85,False
14,0.3187,0.3451,0.11,An_individual_touches_their_toes_and_returns_to_a_standing_position,29,False
15,0.2872,0.3835,0.1101,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,83,False
16,0.2453,0.449,0.1101,A_person_raises_a_knee_to_their_chest,82,False
17,0.3392,0.3297,0.1118,An_individual_brings_their_knee_close_to_their_chest,63,False
18,0.2691,0.4164,0.1121,A_person_raises_a_knee_to_their_chest,51,False
19,0.2557,0.4386,0.1121,A_person_raises_a_knee_to_their_chest,49,False
20,0.2712,0.4151,0.1126,An_individual_rolls_forward_and_rises,10,False
21,0.4047,0.2793,0.113,A_person_brings_their_knee_in_towards_their_chest,0,False
22,0.252,0.4511,0.1137,A_person_raises_a_knee_to_their_chest,30,False
23,0.2645,0.431,0.114,A_person_raises_a_knee_to_their_chest,84,False
24,0.2698,0.4235,0.1143,A_person_brings_their_knee_in_towards_their_chest,27,False
25,0.2618,0.4406,0.1154,A_person_raises_a_knee_to_their_chest,77,False
26,0.2743,0.4237,0.1162,A_person_raises_a_knee_to_their_chest,69,False
27,0.3827,0.3045,0.1165,An_individual_reaches_down_to_their_toes_and_stands_up_straight,21,False
28,0.2905,0.4018,0.1167,A_person_raises_a_knee_to_their_chest,29,False
29,0.4053,0.2882,0.1168,Someone_rolls_forward_and_gets_up,95,False
30,0.2899,0.4044,0.1173,A_person_raises_a_knee_to_their_chest,46,False
31,0.3551,0.3309,0.1175,An_individual_goes_down_to_touch_their_toes_and_then_stands_back_up,1,False
32,0.2616,0.4511,0.118,An_individual_raises_a_knee_towards_their_chest,22,False
