faithfulness,naturalness,score
0.5741,0.5402,0.3101
0.4819,0.5624,0.2710
0.5443,0.7329,0.3989
0.5159,0.5939,0.3064
0.4776,0.6414,0.3063
0.4500,0.5296,0.2383
0.6117,0.5223,0.3195
0.5103,0.5060,0.2582
0.4953,0.6560,0.3249
0.5362,0.5788,0.3104
0.5081,0.4913,0.2496
0.4997,0.5926,0.2961
0.5691,0.6028,0.3431
0.3735,0.6467,0.2415
0.4159,0.5018,0.2087
0.6305,0.4918,0.3101
0.5606,0.5705,0.3199
0.6111,0.4936,0.3016
0.5494,0.4859,0.2670
0.5625,0.5711,0.3213
0.4986,0.5626,0.2805
0.4207,0.5430,0.2284
0.5678,0.5101,0.2896
0.6006,0.5130,0.3081
0.4184,0.4531,0.1896
0.4204,0.5344,0.2246
0.6125,0.5732,0.3511
0.4755,0.5924,0.2817
0.4441,0.4480,0.1990
0.5261,0.6072,0.3195
0.4448,0.5766,0.2565
0.5083,0.5976,0.3038
0.4871,0.7041,0.3430
0.6498,0.5400,0.3509
0.4101,0.5155,0.2114
0.5389,0.6221,0.3353
0.6338,0.5955,0.3774
0.5192,0.5402,0.2805
0.5801,0.4256,0.2469
0.5213,0.5226,0.2725
0.4412,0.5921,0.2612
0.5178,0.5335,0.2762
0.5270,0.5994,0.3158
0.5288,0.4270,0.2258
0.5269,0.5412,0.2852
0.6056,0.5834,0.3533
0.4807,0.5612,0.2697
0.6512,0.7313,0.4763
0.5603,0.6109,0.3423
0.5645,0.6677,0.3769
0.5771,0.6293,0.3631
0.5771,0.5438,0.3138
0.5070,0.5844,0.2963
0.4818,0.5491,0.2646
0.4745,0.5547,0.2632
0.5414,0.5839,0.3161
0.6080,0.6469,0.3934
0.4930,0.6811,0.3358
0.4774,0.5223,0.2493
0.4825,0.5262,0.2539
0.6020,0.4983,0.3000
0.5672,0.5306,0.3009
0.4840,0.5394,0.2611
0.4691,0.5597,0.2626
0.4778,0.5610,0.2680
0.3572,0.5123,0.1830
0.5048,0.5795,0.2925
0.4800,0.5710,0.2741
0.5183,0.5683,0.2945
0.5379,0.5622,0.3024
0.4032,0.6486,0.2615
0.5168,0.5506,0.2845
0.4903,0.5064,0.2483
0.5102,0.6229,0.3178
0.6659,0.5729,0.3815
0.5395,0.5291,0.2854
0.5407,0.4957,0.2680
0.4295,0.5246,0.2253
0.5206,0.5141,0.2677
0.5099,0.5141,0.2621
0.4936,0.4824,0.2381
0.4247,0.5363,0.2278
0.4374,0.5516,0.2413
0.5845,0.6305,0.3685
0.5070,0.6059,0.3072
0.4773,0.5097,0.2433
0.5683,0.5848,0.3324
0.4850,0.6086,0.2951
0.6153,0.5783,0.3558
0.4609,0.6634,0.3058
0.5281,0.6407,0.3384
0.6369,0.5728,0.3648
0.4871,0.5786,0.2819
0.6448,0.5795,0.3736
0.6495,0.5439,0.3532
0.5330,0.5569,0.2968
0.5562,0.7143,0.3973
0.4725,0.5828,0.2754
0.5212,0.4300,0.2241
0.3329,0.6282,0.2092
