faithfulness,naturalness,score
0.4047,0.2793,0.1130
0.6565,0.4351,0.2856
0.4146,0.3542,0.1468
0.3532,0.3764,0.1329
0.4935,0.4227,0.2086
0.4390,0.3445,0.1512
0.5107,0.5141,0.2625
0.5019,0.4868,0.2443
0.4768,0.4258,0.2030
0.3754,0.4515,0.1695
0.4573,0.4565,0.2088
0.6476,0.4576,0.2964
0.5309,0.6103,0.3240
0.5515,0.4698,0.2591
0.4777,0.4539,0.2168
0.4417,0.4200,0.1855
0.5989,0.4224,0.2530
0.5315,0.4621,0.2456
0.5048,0.5052,0.2550
0.3962,0.4844,0.1919
0.4730,0.5262,0.2489
0.3993,0.3755,0.1499
0.3773,0.4380,0.1653
0.3680,0.3899,0.1435
0.6782,0.3892,0.2639
0.3977,0.4990,0.1985
0.6647,0.3801,0.2527
0.2698,0.4235,0.1143
0.3878,0.4102,0.1591
0.4019,0.4607,0.1851
0.5693,0.4290,0.2442
0.6351,0.6237,0.3962
0.6733,0.4241,0.2855
0.5397,0.4683,0.2527
0.4989,0.4995,0.2492
0.3896,0.4393,0.1712
0.6565,0.4745,0.3115
0.4486,0.4744,0.2128
0.4420,0.5373,0.2375
0.5142,0.2948,0.1516
0.4748,0.4801,0.2280
0.4321,0.5061,0.2187
0.5387,0.4029,0.2171
0.6209,0.3793,0.2355
0.6777,0.3971,0.2692
0.5465,0.4520,0.2470
0.4595,0.4596,0.2112
0.4611,0.4226,0.1949
0.4143,0.3326,0.1378
0.6158,0.5433,0.3346
0.6012,0.4214,0.2534
0.4457,0.5200,0.2318
0.4293,0.4562,0.1958
0.4875,0.5170,0.2521
0.5611,0.3927,0.2203
0.6739,0.4523,0.3048
0.3944,0.3140,0.1238
0.7902,0.5549,0.4385
0.4324,0.4561,0.1972
0.5534,0.4596,0.2544
0.4550,0.5420,0.2466
0.6748,0.4196,0.2831
0.5616,0.3726,0.2093
0.5571,0.5532,0.3082
0.4343,0.3836,0.1666
0.5884,0.5429,0.3194
0.4124,0.3894,0.1606
0.5748,0.4914,0.2824
0.7263,0.4156,0.3018
0.7085,0.5712,0.4047
0.5618,0.5511,0.3096
0.4923,0.5033,0.2478
0.4057,0.5055,0.2051
0.4462,0.4702,0.2098
0.5969,0.4340,0.2591
0.3795,0.5159,0.1958
0.4954,0.3648,0.1807
0.4583,0.4088,0.1873
0.4945,0.4782,0.2365
0.3781,0.4904,0.1854
0.4594,0.3607,0.1657
0.4947,0.5417,0.2680
0.4911,0.6373,0.3130
0.5508,0.6083,0.3351
0.5779,0.4708,0.2721
0.3829,0.4402,0.1685
0.6282,0.4304,0.2704
0.4506,0.6218,0.2802
0.4857,0.3742,0.1817
0.4797,0.4939,0.2369
0.3892,0.4019,0.1564
0.3774,0.4636,0.1750
0.4072,0.4986,0.2031
0.4026,0.4182,0.1684
0.3883,0.5195,0.2017
0.4018,0.4837,0.1944
0.5798,0.4122,0.2390
0.3971,0.5039,0.2001
0.3885,0.4219,0.1639
0.5587,0.6297,0.3518
