faithfulness,naturalness,score
0.3508,0.4869,0.1708
0.6109,0.4926,0.3009
0.4653,0.5678,0.2642
0.4645,0.5250,0.2438
0.4097,0.4904,0.2009
0.4935,0.5150,0.2541
0.6339,0.6003,0.3805
0.5239,0.5307,0.2780
0.7285,0.6673,0.4862
0.8031,0.7062,0.5672
0.4697,0.5138,0.2413
0.6694,0.6199,0.4149
0.4747,0.5395,0.2561
0.7513,0.6287,0.4724
0.6792,0.6850,0.4653
0.4312,0.4805,0.2072
0.6156,0.6303,0.3880
0.5639,0.5848,0.3297
0.6685,0.6692,0.4474
0.5344,0.5836,0.3119
0.4914,0.5769,0.2835
0.6715,0.6700,0.4499
0.5224,0.5763,0.3010
0.6806,0.6651,0.4526
0.6453,0.5138,0.3316
0.6094,0.4374,0.2666
0.5248,0.5329,0.2797
0.6762,0.6081,0.4112
0.4663,0.4547,0.2120
0.6444,0.6104,0.3933
0.5971,0.6855,0.4093
0.6226,0.6668,0.4151
0.5278,0.5999,0.3166
0.5038,0.5065,0.2551
0.5415,0.6260,0.3390
0.5284,0.5230,0.2764
0.5230,0.4772,0.2496
0.4168,0.5055,0.2107
0.7226,0.7285,0.5265
0.6066,0.5549,0.3366
0.4544,0.5386,0.2447
0.6314,0.6350,0.4010
0.5064,0.5280,0.2674
0.5322,0.5708,0.3038
0.5675,0.5659,0.3211
0.8720,0.7271,0.6341
0.5684,0.5591,0.3178
0.5595,0.5046,0.2823
0.6822,0.6532,0.4456
0.7022,0.6198,0.4352
0.6275,0.5088,0.3192
0.6273,0.5316,0.3335
0.4783,0.4984,0.2384
0.4334,0.5054,0.2190
0.5834,0.6441,0.3758
0.6283,0.5722,0.3595
0.4654,0.5755,0.2678
0.5341,0.5029,0.2686
0.6711,0.6163,0.4136
0.5017,0.6067,0.3044
0.6531,0.5347,0.3492
0.4569,0.5088,0.2325
0.5240,0.5647,0.2959
0.5493,0.5773,0.3171
0.7306,0.6458,0.4718
0.6704,0.6278,0.4209
0.5930,0.5125,0.3039
0.5579,0.6561,0.3660
0.5815,0.5903,0.3432
0.7991,0.6481,0.5179
0.4901,0.5548,0.2719
0.5791,0.5941,0.3441
0.7159,0.6688,0.4788
0.5539,0.5600,0.3102
0.6225,0.5376,0.3346
0.4356,0.5357,0.2333
0.7055,0.5876,0.4145
0.7547,0.7127,0.5379
0.5808,0.6455,0.3749
0.5349,0.6806,0.3641
0.5113,0.5885,0.3009
0.5892,0.5457,0.3215
0.5896,0.4996,0.2946
0.3299,0.3903,0.1288
0.6595,0.6014,0.3966
0.6779,0.5591,0.3790
0.6183,0.6387,0.3949
0.5974,0.6400,0.3824
0.6803,0.5903,0.4016
0.4962,0.5394,0.2676
0.3713,0.4837,0.1796
0.4910,0.6417,0.3151
0.5649,0.5568,0.3145
0.4903,0.5469,0.2681
0.6950,0.7040,0.4892
0.5006,0.5424,0.2715
0.4355,0.5197,0.2263
0.6488,0.7235,0.4694
0.4064,0.4994,0.2029
0.5609,0.5777,0.3240
