faithfulness,naturalness,score
0.4737,0.4646,0.2201
0.5605,0.5125,0.2872
0.3183,0.4344,0.1383
0.4145,0.4445,0.1843
0.5039,0.4990,0.2515
0.4582,0.4324,0.1981
0.4374,0.5242,0.2293
0.4762,0.5264,0.2507
0.4060,0.4827,0.1960
0.4995,0.5731,0.2863
0.4754,0.5365,0.2551
0.3734,0.5079,0.1897
0.4016,0.5204,0.2090
0.4329,0.5553,0.2404
0.5586,0.5087,0.2841
0.3519,0.4314,0.1518
0.5486,0.6367,0.3493
0.4752,0.5672,0.2696
0.4791,0.5086,0.2437
0.4846,0.5626,0.2726
0.6104,0.6415,0.3916
0.3660,0.4646,0.1701
0.5508,0.5945,0.3275
0.5483,0.5617,0.3080
0.3959,0.4059,0.1607
0.5613,0.5682,0.3189
0.5066,0.5175,0.2622
0.6149,0.6049,0.3719
0.4690,0.5737,0.2690
0.5389,0.5332,0.2874
0.5530,0.6039,0.3340
0.4665,0.4695,0.2190
0.4211,0.5219,0.2198
0.5146,0.4367,0.2247
0.4715,0.5702,0.2689
0.6514,0.5468,0.3562
0.4705,0.5065,0.2383
0.4707,0.6127,0.2884
0.3983,0.6185,0.2463
0.4137,0.4768,0.1973
0.5163,0.5392,0.2784
0.5248,0.5524,0.2899
0.5585,0.5406,0.3019
0.5060,0.6210,0.3143
0.5008,0.5539,0.2774
0.4069,0.4525,0.1841
0.4414,0.4433,0.1956
0.4515,0.5705,0.2576
0.4394,0.5944,0.2612
0.3791,0.4462,0.1691
0.6850,0.6307,0.4321
0.6616,0.6389,0.4226
0.5906,0.5192,0.3067
0.5203,0.6036,0.3140
0.3276,0.4766,0.1561
0.4200,0.4519,0.1898
0.4743,0.5444,0.2582
0.6241,0.6567,0.4099
0.5770,0.5860,0.3381
0.5173,0.4693,0.2428
0.5000,0.5374,0.2687
0.5756,0.6371,0.3667
0.4606,0.4953,0.2282
0.4906,0.5702,0.2797
0.4074,0.4382,0.1786
0.4756,0.4546,0.2162
0.4241,0.5017,0.2128
0.5057,0.5330,0.2695
0.4954,0.5409,0.2680
0.4227,0.5440,0.2300
0.3285,0.4901,0.1610
0.5023,0.5479,0.2752
0.4814,0.5383,0.2591
0.4285,0.4408,0.1889
0.3616,0.4859,0.1757
0.4620,0.5265,0.2433
0.4162,0.4585,0.1908
0.3503,0.3990,0.1398
0.4402,0.3963,0.1744
0.3171,0.4774,0.1514
0.4201,0.3857,0.1620
0.3743,0.4518,0.1691
0.6362,0.6314,0.4017
0.5219,0.4764,0.2486
0.4791,0.5627,0.2696
0.5167,0.5328,0.2753
0.5758,0.5904,0.3399
0.5484,0.5500,0.3016
0.4735,0.5472,0.2591
0.3904,0.4560,0.1780
0.4701,0.5660,0.2660
0.4580,0.5541,0.2538
0.5329,0.5381,0.2867
0.4761,0.5903,0.2810
0.5963,0.5518,0.3291
0.5588,0.4731,0.2644
0.5104,0.5332,0.2721
0.4852,0.5380,0.2610
0.5407,0.6014,0.3252
0.4816,0.6266,0.3018
