faithfulness,naturalness,score
0.6756,0.6412,0.4332
0.5654,0.6358,0.3595
0.7370,0.6243,0.4601
0.6647,0.8235,0.5474
0.6790,0.8090,0.5493
0.6913,0.6686,0.4623
0.6198,0.6967,0.4319
0.8205,0.7433,0.6099
0.7389,0.7409,0.5474
0.7737,0.6962,0.5387
0.8129,0.7355,0.5979
0.6233,0.7091,0.4419
0.6778,0.7388,0.5008
0.6828,0.6938,0.4738
0.7246,0.7736,0.5605
0.7529,0.7297,0.5494
0.6632,0.6807,0.4514
0.6562,0.7546,0.4952
0.5924,0.5833,0.3456
0.6687,0.7339,0.4908
0.7654,0.7667,0.5868
0.6983,0.6563,0.4583
0.7600,0.7567,0.5750
0.7218,0.7183,0.5185
0.7519,0.7154,0.5380
0.7819,0.7500,0.5864
0.7722,0.7772,0.6001
0.7137,0.7059,0.5038
0.7287,0.7230,0.5268
0.7009,0.7937,0.5563
0.6802,0.7545,0.5132
0.6636,0.6691,0.4440
0.7269,0.7909,0.5749
0.7479,0.7502,0.5611
0.7207,0.7302,0.5262
0.7506,0.7970,0.5982
0.5901,0.7049,0.4159
0.7411,0.7111,0.5270
0.6652,0.6597,0.4389
0.6754,0.7143,0.4825
0.6548,0.7544,0.4939
0.5819,0.5861,0.3410
0.6307,0.6240,0.3936
0.7014,0.7680,0.5387
0.7003,0.7276,0.5095
0.6846,0.7453,0.5103
0.6631,0.6452,0.4278
0.6540,0.6535,0.4274
0.5999,0.6240,0.3743
0.6605,0.7274,0.4805
0.7490,0.7345,0.5501
0.6690,0.7486,0.5008
0.7723,0.7046,0.5441
0.7207,0.7282,0.5248
0.7153,0.7738,0.5535
0.7840,0.7620,0.5974
0.7535,0.6554,0.4938
0.7816,0.8151,0.6371
0.7858,0.8115,0.6377
0.6969,0.7159,0.4989
0.6318,0.5644,0.3566
0.7931,0.7818,0.6201
0.6892,0.5281,0.3640
0.6946,0.6413,0.4455
0.7691,0.7345,0.5649
0.6797,0.7325,0.4979
0.6887,0.7290,0.5020
0.6736,0.7499,0.5051
0.6731,0.7433,0.5003
0.6899,0.6998,0.4828
0.7200,0.7587,0.5463
0.7008,0.7345,0.5148
0.6752,0.7410,0.5003
0.8186,0.7988,0.6539
0.7372,0.7370,0.5433
0.7195,0.7693,0.5535
0.7228,0.7427,0.5368
0.7258,0.7384,0.5359
0.8068,0.7435,0.5998
0.6005,0.6714,0.4032
0.6993,0.7633,0.5338
0.6667,0.6118,0.4079
0.6771,0.7213,0.4884
0.7284,0.7466,0.5438
0.7617,0.6796,0.5177
0.6438,0.7202,0.4637
0.7729,0.8511,0.6578
0.6836,0.6981,0.4772
0.6838,0.7435,0.5084
0.6829,0.8131,0.5553
0.6449,0.6061,0.3908
0.6789,0.7244,0.4918
0.7536,0.7534,0.5678
0.6334,0.6915,0.4381
0.6470,0.6612,0.4278
0.7718,0.7686,0.5933
0.6388,0.6089,0.3889
0.6622,0.7179,0.4754
0.6093,0.7218,0.4398
0.7069,0.7054,0.4986
