faithfulness,naturalness,score
0.8182,0.5872,0.4805
0.8392,0.6394,0.5366
0.8460,0.6137,0.5192
0.8762,0.6833,0.5987
0.8177,0.6972,0.5701
0.8649,0.7305,0.6318
0.8467,0.7328,0.6204
0.7063,0.5186,0.3663
0.8172,0.6820,0.5573
0.7643,0.5819,0.4448
0.8925,0.6308,0.5630
0.8358,0.5693,0.4758
0.9005,0.7287,0.6562
0.8295,0.7282,0.6040
0.8422,0.6795,0.5722
0.8620,0.6375,0.5495
0.9038,0.7366,0.6657
0.8213,0.5943,0.4880
0.8349,0.7216,0.6024
0.8230,0.6370,0.5243
0.8558,0.6000,0.5134
0.8067,0.6669,0.5380
0.8828,0.7043,0.6217
0.8698,0.6722,0.5847
0.8098,0.6174,0.4999
0.8730,0.6979,0.6092
0.8235,0.6364,0.5241
0.8641,0.6998,0.6047
0.7980,0.6356,0.5073
0.8007,0.5649,0.4523
0.8904,0.7315,0.6514
0.8274,0.6806,0.5632
0.8455,0.6530,0.5521
0.8478,0.6678,0.5662
0.8151,0.6408,0.5223
0.8598,0.6221,0.5349
0.8354,0.6481,0.5414
0.8245,0.6989,0.5762
0.8741,0.6926,0.6054
0.7884,0.6548,0.5163
0.8729,0.7172,0.6261
0.7647,0.5941,0.4543
0.8878,0.6580,0.5842
0.7967,0.6409,0.5106
0.8706,0.6816,0.5934
0.8559,0.6916,0.5920
0.7665,0.6404,0.4908
0.7838,0.6286,0.4927
0.8701,0.6408,0.5576
0.8476,0.6204,0.5258
0.8731,0.6534,0.5705
0.8699,0.6959,0.6054
0.8078,0.6204,0.5011
0.8795,0.6481,0.5701
0.7662,0.6280,0.4812
0.8604,0.6850,0.5894
0.8093,0.6003,0.4858
0.8029,0.6767,0.5433
0.7791,0.6310,0.4916
0.8894,0.6762,0.6014
0.8695,0.6583,0.5724
0.8182,0.6181,0.5057
0.8436,0.6720,0.5669
0.8361,0.7133,0.5964
0.8726,0.6543,0.5709
0.8159,0.6659,0.5433
0.9150,0.7171,0.6561
0.8509,0.6315,0.5373
0.7879,0.5579,0.4396
0.8242,0.6198,0.5109
0.8736,0.6775,0.5918
0.8698,0.6878,0.5982
0.7605,0.5603,0.4261
0.8668,0.6993,0.6062
0.8233,0.6435,0.5298
0.8369,0.6245,0.5227
0.8145,0.6207,0.5056
0.7860,0.5517,0.4337
0.7785,0.5500,0.4282
0.8891,0.6924,0.6157
0.7919,0.6057,0.4796
0.7901,0.6461,0.5105
0.8694,0.6633,0.5767
0.8517,0.6333,0.5394
0.8448,0.6481,0.5476
0.9014,0.6473,0.5834
0.7765,0.5861,0.4551
0.9302,0.7525,0.6999
0.8749,0.7342,0.6424
0.8254,0.6442,0.5317
0.8391,0.6341,0.5321
0.7452,0.6331,0.4718
0.8003,0.6726,0.5383
0.8395,0.6336,0.5319
0.8497,0.6809,0.5786
0.8375,0.6069,0.5083
0.8701,0.6742,0.5866
0.7775,0.6345,0.4933
0.8793,0.6889,0.6057
0.8296,0.6333,0.5254
