faithfulness,naturalness,score
0.3626,0.5862,0.2126
0.4293,0.6099,0.2618
0.3298,0.5234,0.1726
0.3809,0.5633,0.2145
0.3391,0.5595,0.1897
0.3827,0.5286,0.2023
0.4250,0.5752,0.2444
0.4319,0.5762,0.2488
0.3780,0.5916,0.2236
0.4425,0.5652,0.2501
0.3754,0.6190,0.2324
0.3862,0.5779,0.2231
0.4527,0.5752,0.2604
0.4138,0.5615,0.2323
0.3720,0.4994,0.1858
0.4760,0.5953,0.2834
0.4624,0.6142,0.2840
0.3912,0.5370,0.2100
0.3954,0.5748,0.2273
0.3990,0.5273,0.2104
0.3609,0.5672,0.2047
0.3907,0.5476,0.2139
0.3749,0.5231,0.1961
0.3784,0.5939,0.2247
0.3738,0.5740,0.2146
0.3745,0.6089,0.2280
0.3691,0.5982,0.2208
0.3936,0.4923,0.1937
0.3747,0.4965,0.1860
0.4316,0.5748,0.2481
0.3510,0.5620,0.1973
0.3322,0.5043,0.1675
0.3122,0.5658,0.1766
0.4447,0.5306,0.2360
0.3785,0.5449,0.2062
0.4311,0.6526,0.2814
0.4347,0.5849,0.2542
0.3676,0.5548,0.2040
0.3516,0.5764,0.2027
0.3182,0.5717,0.1819
0.4238,0.6318,0.2677
0.3880,0.5317,0.2063
0.4751,0.6623,0.3147
0.3593,0.5270,0.1894
0.3309,0.4584,0.1517
0.3844,0.5377,0.2067
0.3969,0.5763,0.2287
0.3695,0.5830,0.2154
0.4254,0.5858,0.2492
0.3873,0.5839,0.2262
0.3520,0.5330,0.1876
0.4209,0.6028,0.2537
0.4067,0.5688,0.2313
0.3585,0.5329,0.1911
0.3878,0.5656,0.2193
0.3794,0.5364,0.2035
0.3630,0.5172,0.1877
0.3829,0.5165,0.1978
0.4374,0.5542,0.2424
0.3636,0.5658,0.2057
0.3748,0.5182,0.1942
0.4215,0.5553,0.2340
0.4476,0.5917,0.2648
0.3998,0.5619,0.2247
0.3742,0.5227,0.1956
0.4230,0.6194,0.2620
0.5084,0.5953,0.3027
0.3885,0.5824,0.2263
0.3742,0.4847,0.1814
0.3542,0.4944,0.1751
0.4137,0.5895,0.2439
0.4093,0.5383,0.2203
0.4321,0.5773,0.2495
0.3719,0.5465,0.2033
0.4080,0.5584,0.2278
0.4517,0.6099,0.2755
0.3733,0.5546,0.2071
0.3821,0.5860,0.2239
0.3642,0.5937,0.2162
0.2773,0.4735,0.1313
0.3766,0.6033,0.2272
0.3977,0.6002,0.2387
0.3571,0.5430,0.1939
0.3693,0.5421,0.2002
0.3724,0.5118,0.1906
0.3267,0.4977,0.1626
0.4190,0.5530,0.2317
0.3050,0.4742,0.1446
0.3373,0.5603,0.1890
0.3771,0.5986,0.2257
0.4016,0.6271,0.2518
0.3897,0.5163,0.2012
0.4029,0.5539,0.2231
0.3217,0.5116,0.1646
0.3868,0.5786,0.2238
0.3835,0.5605,0.2149
0.4265,0.5748,0.2452
0.4358,0.5766,0.2513
0.4085,0.5890,0.2406
0.4418,0.5628,0.2486
