faithfulness,naturalness,score
0.6510,0.5739,0.3736
0.6036,0.4976,0.3003
0.6877,0.6277,0.4317
0.5273,0.4321,0.2279
0.6095,0.4623,0.2818
0.6100,0.4808,0.2933
0.5727,0.5276,0.3022
0.5267,0.4149,0.2185
0.5435,0.4311,0.2343
0.5885,0.3978,0.2341
0.5096,0.4440,0.2263
0.5143,0.3712,0.1909
0.6142,0.4401,0.2703
0.4080,0.4853,0.1980
0.6386,0.5397,0.3447
0.5257,0.5054,0.2657
0.6249,0.5139,0.3211
0.5434,0.4397,0.2389
0.6699,0.5646,0.3782
0.6104,0.5019,0.3064
0.5682,0.4401,0.2501
0.6468,0.5923,0.3831
0.6250,0.5148,0.3217
0.5599,0.4670,0.2614
0.5426,0.3969,0.2154
0.6227,0.4869,0.3032
0.6943,0.5284,0.3668
0.4913,0.4257,0.2092
0.6626,0.4999,0.3312
0.6307,0.5133,0.3237
0.4989,0.3914,0.1953
0.5464,0.4496,0.2457
0.6143,0.4561,0.2802
0.6289,0.4872,0.3064
0.6050,0.5033,0.3045
0.5502,0.4808,0.2645
0.4974,0.4672,0.2324
0.6807,0.5271,0.3588
0.6425,0.5168,0.3320
0.6706,0.5310,0.3561
0.5718,0.4648,0.2657
0.5226,0.4309,0.2252
0.6160,0.4775,0.2941
0.6138,0.4771,0.2928
0.6322,0.4889,0.3091
0.6295,0.5538,0.3486
0.5086,0.5175,0.2632
0.6172,0.4601,0.2840
0.5858,0.3750,0.2197
0.5772,0.4608,0.2660
0.6254,0.4497,0.2812
0.6761,0.6225,0.4209
0.6359,0.4585,0.2916
0.6221,0.4905,0.3052
0.6281,0.4796,0.3013
0.4938,0.3411,0.1685
0.6105,0.4934,0.3012
0.6763,0.5248,0.3549
0.6105,0.4592,0.2803
0.6030,0.4982,0.3005
0.4666,0.4642,0.2166
0.6575,0.5757,0.3785
0.6467,0.5222,0.3377
0.6519,0.5089,0.3317
0.5705,0.4791,0.2733
0.5068,0.4904,0.2486
0.5884,0.4374,0.2574
0.6060,0.4992,0.3026
0.5428,0.4534,0.2461
0.5737,0.4476,0.2568
0.6604,0.5259,0.3473
0.6490,0.5373,0.3488
0.5324,0.4359,0.2320
0.5326,0.4465,0.2378
0.5793,0.4642,0.2689
0.5940,0.4741,0.2817
0.6145,0.4625,0.2842
0.6004,0.4722,0.2835
0.5741,0.4610,0.2646
0.5997,0.5174,0.3103
0.6540,0.5415,0.3541
0.5805,0.5167,0.2999
0.6352,0.5134,0.3261
0.6819,0.5132,0.3500
0.6247,0.5129,0.3204
0.4885,0.3600,0.1759
0.6079,0.4851,0.2949
0.6465,0.5257,0.3399
0.4676,0.4416,0.2065
0.5157,0.4140,0.2135
0.6233,0.4698,0.2928
0.6377,0.4725,0.3013
0.4968,0.5661,0.2813
0.6249,0.5036,0.3147
0.6587,0.4929,0.3247
0.4467,0.4505,0.2013
0.6334,0.5119,0.3243
0.5949,0.5407,0.3217
0.7066,0.5336,0.3770
0.4756,0.3625,0.1724
