faithfulness,naturalness,score
0.4485,0.4324,0.1939
0.4482,0.4274,0.1916
0.4844,0.5973,0.2893
0.5153,0.5956,0.3069
0.5973,0.5622,0.3358
0.4736,0.5173,0.2450
0.4399,0.4075,0.1793
0.4559,0.5184,0.2363
0.5760,0.5397,0.3108
0.4025,0.5593,0.2251
0.4269,0.5080,0.2169
0.5587,0.3381,0.1889
0.3847,0.5369,0.2065
0.4559,0.5938,0.2707
0.4554,0.5203,0.2370
0.5832,0.6420,0.3744
0.4663,0.5087,0.2372
0.3888,0.4504,0.1751
0.5254,0.5294,0.2781
0.4742,0.4664,0.2212
0.5109,0.5784,0.2955
0.4974,0.5031,0.2502
0.5340,0.5754,0.3073
0.5018,0.4916,0.2467
0.4408,0.5289,0.2331
0.4952,0.5194,0.2572
0.4532,0.5140,0.2329
0.5741,0.6438,0.3696
0.4560,0.5515,0.2515
0.4660,0.4575,0.2132
0.3360,0.4004,0.1346
0.5998,0.4128,0.2476
0.3809,0.5457,0.2078
0.5509,0.6706,0.3694
0.4639,0.5220,0.2422
0.4107,0.4881,0.2005
0.4901,0.5987,0.2934
0.4422,0.5314,0.2350
0.5465,0.5253,0.2871
0.4280,0.4638,0.1985
0.4203,0.4984,0.2095
0.5038,0.4534,0.2284
0.4233,0.4975,0.2106
0.4066,0.5537,0.2251
0.4507,0.5804,0.2616
0.3974,0.4302,0.1710
0.4537,0.5167,0.2344
0.4461,0.5011,0.2235
0.4643,0.5965,0.2769
0.6569,0.4759,0.3126
0.4468,0.4481,0.2002
0.4859,0.4266,0.2073
0.4559,0.4840,0.2207
0.4370,0.5420,0.2369
0.5155,0.4822,0.2486
0.5198,0.5214,0.2710
0.4890,0.5249,0.2567
0.4525,0.5335,0.2414
0.4371,0.4548,0.1988
0.4861,0.5977,0.2905
0.4932,0.5438,0.2682
0.4564,0.4681,0.2137
0.4727,0.5433,0.2568
0.4379,0.5418,0.2373
0.4586,0.5076,0.2328
0.5601,0.5410,0.3030
0.4457,0.5840,0.2603
0.3941,0.3601,0.1419
0.4732,0.5092,0.2410
0.4985,0.5445,0.2714
0.5563,0.5717,0.3180
0.4469,0.5153,0.2303
0.5427,0.4382,0.2378
0.5493,0.5532,0.3039
0.5826,0.5318,0.3098
0.5354,0.5501,0.2945
0.4617,0.3268,0.1509
0.4298,0.4355,0.1872
0.5723,0.5497,0.3146
0.4752,0.5038,0.2394
0.4971,0.5208,0.2589
0.4519,0.4878,0.2204
0.4773,0.4776,0.2280
0.4472,0.5348,0.2392
0.3940,0.4632,0.1825
0.4699,0.5196,0.2442
0.4449,0.4809,0.2140
0.4108,0.5187,0.2131
0.5803,0.5112,0.2967
0.4508,0.5344,0.2409
0.4338,0.6041,0.2621
0.4847,0.5579,0.2704
0.6180,0.4557,0.2816
0.5338,0.5470,0.2920
0.4757,0.4645,0.2210
0.5528,0.4843,0.2677
0.5186,0.4823,0.2501
0.4412,0.5038,0.2222
0.5116,0.4689,0.2399
0.4507,0.5208,0.2347
