faithfulness,naturalness,score
0.7052,0.5376,0.3791
0.7517,0.5877,0.4418
0.7996,0.5926,0.4738
0.7161,0.4752,0.3403
0.6659,0.5203,0.3465
0.7583,0.5205,0.3947
0.7205,0.4964,0.3577
0.7073,0.5462,0.3863
0.8328,0.6003,0.4999
0.7057,0.5173,0.3651
0.8368,0.5738,0.4802
0.7799,0.5567,0.4342
0.7998,0.5833,0.4665
0.7552,0.5426,0.4098
0.8104,0.5574,0.4517
0.7468,0.5728,0.4277
0.7611,0.6060,0.4612
0.6106,0.4430,0.2705
0.6779,0.4364,0.2958
0.7598,0.5322,0.4044
0.5375,0.4199,0.2257
0.7282,0.5394,0.3928
0.7652,0.5655,0.4327
0.7507,0.5427,0.4074
0.6676,0.4367,0.2915
0.6021,0.3769,0.2269
0.6783,0.4015,0.2723
0.7457,0.5592,0.4170
0.6893,0.4483,0.3090
0.7751,0.5741,0.4450
0.5917,0.5046,0.2985
0.6647,0.5115,0.3400
0.7096,0.5403,0.3834
0.8853,0.6814,0.6032
0.7980,0.5774,0.4608
0.6600,0.4842,0.3196
0.7637,0.5792,0.4423
0.6264,0.4431,0.2776
0.5781,0.4791,0.2770
0.5391,0.4332,0.2335
0.8148,0.5972,0.4866
0.7535,0.5010,0.3775
0.6030,0.4539,0.2737
0.6593,0.4743,0.3127
0.7786,0.6191,0.4821
0.6666,0.5572,0.3714
0.6927,0.5514,0.3820
0.7604,0.5726,0.4354
0.7886,0.5771,0.4551
0.6849,0.4007,0.2744
0.6597,0.3595,0.2372
0.7818,0.5851,0.4574
0.6994,0.5458,0.3817
0.7431,0.5461,0.4058
0.5163,0.5527,0.2854
0.7918,0.5823,0.4611
0.8108,0.5218,0.4231
0.7553,0.5577,0.4212
0.7952,0.5597,0.4451
0.7716,0.5233,0.4037
0.7468,0.5800,0.4331
0.6965,0.4866,0.3389
0.6898,0.5505,0.3797
0.7104,0.5270,0.3744
0.6231,0.4343,0.2706
0.7369,0.4567,0.3365
0.6712,0.4497,0.3019
0.7615,0.5463,0.4160
0.7245,0.5255,0.3807
0.7433,0.5703,0.4239
0.7143,0.5477,0.3913
0.7736,0.6317,0.4886
0.7648,0.6291,0.4811
0.7254,0.5144,0.3731
0.7859,0.5266,0.4139
0.7582,0.6229,0.4723
0.7197,0.5478,0.3943
0.6321,0.5801,0.3666
0.5339,0.4597,0.2455
0.7052,0.4899,0.3455
0.7219,0.4523,0.3265
0.7751,0.5226,0.4051
0.7884,0.6087,0.4799
0.6577,0.5247,0.3451
0.8216,0.6282,0.5161
0.6962,0.5146,0.3582
0.8054,0.5973,0.4811
0.6667,0.4561,0.3041
0.7223,0.5135,0.3709
0.7435,0.5670,0.4216
0.7654,0.5818,0.4453
0.8093,0.5597,0.4530
0.6869,0.4394,0.3018
0.6056,0.4817,0.2917
0.7024,0.5072,0.3563
0.8230,0.6206,0.5107
0.7186,0.5522,0.3968
0.7915,0.6278,0.4969
0.7640,0.5397,0.4123
0.7268,0.5262,0.3825
