faithfulness,naturalness,score
0.4590,0.3967,0.1821
0.4581,0.4515,0.2069
0.3228,0.4819,0.1556
0.4846,0.5657,0.2741
0.5034,0.5621,0.2829
0.5059,0.5119,0.2590
0.4948,0.3608,0.1786
0.4805,0.4884,0.2347
0.5124,0.4756,0.2437
0.4888,0.5713,0.2792
0.4440,0.5085,0.2258
0.4895,0.4874,0.2386
0.4813,0.5340,0.2570
0.4439,0.4990,0.2215
0.4084,0.5320,0.2173
0.4845,0.5496,0.2663
0.5883,0.4707,0.2769
0.5034,0.5212,0.2624
0.4947,0.4284,0.2120
0.5319,0.4834,0.2571
0.3914,0.3486,0.1365
0.4900,0.5375,0.2634
0.5311,0.4830,0.2565
0.4811,0.5174,0.2489
0.3648,0.4535,0.1655
0.4694,0.5617,0.2636
0.4410,0.4975,0.2194
0.3486,0.4765,0.1661
0.4695,0.5465,0.2566
0.5263,0.4738,0.2494
0.4085,0.3785,0.1546
0.4713,0.5394,0.2542
0.4129,0.4922,0.2032
0.5681,0.5782,0.3285
0.5378,0.5095,0.2740
0.4434,0.4515,0.2002
0.3452,0.4375,0.1510
0.4938,0.5891,0.2909
0.5439,0.5421,0.2948
0.4817,0.4832,0.2327
0.4218,0.4423,0.1866
0.4590,0.4673,0.2145
0.5437,0.4024,0.2188
0.4053,0.3829,0.1552
0.4504,0.4742,0.2136
0.4009,0.5697,0.2284
0.3946,0.5799,0.2288
0.4559,0.4838,0.2206
0.4088,0.4435,0.1813
0.4296,0.5180,0.2225
0.4532,0.4351,0.1972
0.3914,0.4790,0.1875
0.3678,0.4581,0.1685
0.3817,0.5263,0.2009
0.3525,0.4906,0.1729
0.4048,0.4194,0.1698
0.4512,0.4906,0.2213
0.3220,0.3858,0.1242
0.4703,0.5190,0.2441
0.5367,0.5085,0.2729
0.4760,0.5270,0.2508
0.4490,0.3012,0.1352
0.4636,0.4275,0.1982
0.3512,0.5108,0.1794
0.4497,0.4107,0.1847
0.4093,0.4923,0.2015
0.4518,0.3839,0.1735
0.4846,0.4221,0.2045
0.4068,0.4358,0.1773
0.4893,0.5081,0.2486
0.4707,0.4898,0.2305
0.4289,0.5641,0.2420
0.5770,0.4841,0.2794
0.4062,0.4573,0.1858
0.5536,0.4939,0.2734
0.4544,0.4433,0.2014
0.4563,0.4773,0.2178
0.3910,0.4802,0.1878
0.3159,0.4874,0.1540
0.4545,0.4265,0.1938
0.4634,0.4572,0.2119
0.4693,0.4496,0.2110
0.4906,0.5526,0.2711
0.4863,0.5198,0.2528
0.3474,0.3950,0.1372
0.5156,0.5937,0.3061
0.5325,0.4993,0.2659
0.4954,0.5637,0.2792
0.4375,0.5301,0.2319
0.6026,0.6235,0.3757
0.4596,0.4583,0.2106
0.5339,0.5911,0.3156
0.4767,0.4182,0.1993
0.4441,0.4074,0.1809
0.4781,0.5361,0.2563
0.4283,0.5564,0.2383
0.3686,0.5497,0.2026
0.4767,0.5338,0.2545
0.3989,0.5356,0.2136
0.3018,0.5604,0.1692
