faithfulness,naturalness,score
0.6213,0.4923,0.3059
0.7508,0.7440,0.5586
0.6475,0.5034,0.3259
0.6346,0.4830,0.3065
0.6246,0.6012,0.3755
0.6895,0.5798,0.3998
0.5765,0.4514,0.2602
0.6964,0.6284,0.4377
0.6681,0.4441,0.2967
0.6907,0.5305,0.3664
0.6903,0.6099,0.4211
0.6094,0.4925,0.3001
0.5273,0.4343,0.2290
0.6171,0.4709,0.2906
0.5724,0.4726,0.2705
0.6434,0.5513,0.3547
0.6363,0.5744,0.3655
0.7637,0.6895,0.5266
0.6589,0.5347,0.3523
0.5962,0.5755,0.3431
0.5440,0.4267,0.2321
0.5963,0.4925,0.2937
0.5504,0.5201,0.2862
0.6157,0.4851,0.2987
0.6847,0.5718,0.3915
0.7063,0.5640,0.3984
0.4904,0.4781,0.2345
0.5888,0.4823,0.2840
0.4671,0.4578,0.2138
0.6899,0.5354,0.3694
0.6507,0.5457,0.3550
0.6409,0.4589,0.2941
0.6435,0.4561,0.2935
0.5675,0.4344,0.2465
0.6659,0.5630,0.3749
0.5833,0.4820,0.2811
0.6321,0.4321,0.2731
0.6825,0.5119,0.3494
0.6242,0.5130,0.3202
0.7065,0.6060,0.4282
0.6911,0.5933,0.4100
0.7276,0.5671,0.4126
0.6842,0.5065,0.3466
0.6421,0.4530,0.2909
0.6406,0.5085,0.3257
0.6780,0.5268,0.3572
0.5954,0.4714,0.2807
0.6039,0.5796,0.3500
0.5356,0.4662,0.2497
0.6077,0.4756,0.2890
0.6555,0.5576,0.3655
0.6341,0.4730,0.3000
0.5868,0.4773,0.2801
0.7535,0.6016,0.4533
0.5724,0.5176,0.2963
0.6091,0.4670,0.2844
0.7339,0.5786,0.4246
0.5685,0.4618,0.2625
0.6080,0.5922,0.3601
0.5037,0.4090,0.2060
0.6026,0.5589,0.3368
0.5502,0.4445,0.2445
0.7012,0.6425,0.4506
0.6969,0.6165,0.4296
0.6412,0.5100,0.3270
0.6590,0.4096,0.2700
0.6451,0.4854,0.3131
0.6122,0.5018,0.3072
0.4784,0.5721,0.2737
0.6334,0.4837,0.3064
0.6869,0.6007,0.4126
0.7006,0.5768,0.4041
0.7016,0.5888,0.4132
0.5809,0.5073,0.2947
0.6723,0.5738,0.3857
0.5795,0.5495,0.3184
0.6973,0.5243,0.3656
0.6242,0.4730,0.2952
0.7441,0.6511,0.4845
0.8090,0.6550,0.5299
0.5987,0.4600,0.2754
0.7229,0.5275,0.3813
0.6699,0.4440,0.2974
0.6701,0.5219,0.3497
0.6407,0.5266,0.3374
0.5117,0.5267,0.2695
0.6359,0.5532,0.3518
0.5371,0.4968,0.2668
0.6653,0.4947,0.3291
0.5519,0.4136,0.2283
0.5549,0.5055,0.2805
0.4798,0.5261,0.2524
0.5538,0.5123,0.2837
0.5739,0.5309,0.3047
0.5957,0.5775,0.3440
0.6814,0.5959,0.4060
0.7173,0.6553,0.4700
0.6504,0.5578,0.3628
0.6617,0.5022,0.3323
0.6084,0.6122,0.3724
