faithfulness,naturalness,score
0.4360,0.5772,0.2516
0.4295,0.5305,0.2278
0.3508,0.5432,0.1905
0.3161,0.4742,0.1499
0.4709,0.5389,0.2538
0.3840,0.5576,0.2141
0.4778,0.5378,0.2570
0.3561,0.5123,0.1824
0.3483,0.5134,0.1788
0.3992,0.4789,0.1912
0.3419,0.5496,0.1879
0.5112,0.5414,0.2768
0.3908,0.4859,0.1899
0.3975,0.4933,0.1961
0.3741,0.4934,0.1846
0.4708,0.4666,0.2197
0.5016,0.5630,0.2824
0.3458,0.5375,0.1858
0.3775,0.5374,0.2029
0.3598,0.5372,0.1933
0.4484,0.5768,0.2586
0.3869,0.5251,0.2032
0.3485,0.5436,0.1895
0.4518,0.5773,0.2608
0.3993,0.4841,0.1933
0.3400,0.5199,0.1768
0.3126,0.4990,0.1560
0.3076,0.4744,0.1459
0.4249,0.5007,0.2128
0.3825,0.4933,0.1887
0.3878,0.5251,0.2037
0.3464,0.5269,0.1825
0.3588,0.4783,0.1716
0.3819,0.5876,0.2244
0.2993,0.5420,0.1622
0.4664,0.5239,0.2443
0.5409,0.5835,0.3156
0.3949,0.4993,0.1971
0.4587,0.5132,0.2354
0.3901,0.4837,0.1887
0.4663,0.5158,0.2405
0.3939,0.6146,0.2421
0.4073,0.4544,0.1851
0.4810,0.5896,0.2836
0.4396,0.5509,0.2422
0.4963,0.5781,0.2869
0.3844,0.4815,0.1851
0.2735,0.5375,0.1470
0.4747,0.5686,0.2699
0.3480,0.5362,0.1866
0.4131,0.5121,0.2116
0.3901,0.6072,0.2369
0.3698,0.5580,0.2063
0.3597,0.5634,0.2026
0.4068,0.5696,0.2317
0.5339,0.5601,0.2991
0.4979,0.5214,0.2596
0.4383,0.4625,0.2027
0.4521,0.5839,0.2640
0.4527,0.5339,0.2417
0.3559,0.5379,0.1915
0.4318,0.5502,0.2376
0.4743,0.5243,0.2487
0.4492,0.5917,0.2658
0.4384,0.5608,0.2458
0.3104,0.4833,0.1500
0.5160,0.5776,0.2981
0.3602,0.5288,0.1905
0.3985,0.4678,0.1864
0.3320,0.4949,0.1643
0.3622,0.4920,0.1782
0.4303,0.5834,0.2510
0.4027,0.4771,0.1922
0.4060,0.5220,0.2119
0.3606,0.4656,0.1679
0.3833,0.5295,0.2029
0.4586,0.5185,0.2378
0.3767,0.5574,0.2100
0.3620,0.5213,0.1887
0.3382,0.5035,0.1703
0.4358,0.6143,0.2677
0.4363,0.4293,0.1873
0.3820,0.5971,0.2281
0.3525,0.4823,0.1700
0.3811,0.5138,0.1958
0.3299,0.4846,0.1599
0.3800,0.4492,0.1707
0.2789,0.5253,0.1465
0.3630,0.4684,0.1700
0.4083,0.5351,0.2185
0.3567,0.5429,0.1936
0.4735,0.5548,0.2627
0.3822,0.4790,0.1831
0.3581,0.5386,0.1929
0.3568,0.5342,0.1906
0.4531,0.4784,0.2167
0.4989,0.6007,0.2997
0.4292,0.5036,0.2161
0.4472,0.4505,0.2015
0.3707,0.5577,0.2067
