faithfulness,naturalness,score
0.6054,0.5077,0.3073
0.4874,0.5235,0.2552
0.5687,0.5527,0.3143
0.5023,0.4776,0.2399
0.5149,0.5008,0.2579
0.4313,0.4633,0.1998
0.4947,0.5631,0.2786
0.6115,0.5455,0.3335
0.6233,0.6242,0.3891
0.5633,0.6142,0.3460
0.6610,0.5902,0.3901
0.5507,0.5474,0.3015
0.5926,0.4974,0.2947
0.4545,0.6011,0.2732
0.6559,0.6341,0.4160
0.5850,0.5790,0.3387
0.4987,0.6044,0.3014
0.5153,0.4094,0.2109
0.6025,0.5573,0.3358
0.6207,0.5808,0.3605
0.5371,0.4959,0.2664
0.5774,0.5807,0.3353
0.5850,0.5805,0.3396
0.5702,0.6017,0.3431
0.5211,0.5192,0.2706
0.6462,0.5421,0.3503
0.4995,0.4753,0.2374
0.5177,0.4665,0.2415
0.5646,0.4959,0.2800
0.6118,0.5721,0.3500
0.4962,0.4028,0.1999
0.5427,0.4815,0.2613
0.6119,0.5082,0.3110
0.7611,0.6172,0.4698
0.6273,0.5613,0.3521
0.6106,0.4267,0.2605
0.7240,0.5921,0.4287
0.5835,0.4707,0.2747
0.6004,0.5434,0.3263
0.4712,0.5104,0.2405
0.6593,0.6747,0.4448
0.5474,0.6305,0.3451
0.5354,0.4894,0.2620
0.5761,0.5365,0.3091
0.4894,0.4891,0.2393
0.5408,0.4481,0.2423
0.5878,0.6408,0.3767
0.5065,0.5481,0.2776
0.5752,0.4930,0.2836
0.6394,0.5189,0.3318
0.6297,0.5332,0.3357
0.6063,0.5436,0.3296
0.5721,0.5141,0.2941
0.6318,0.5620,0.3551
0.4111,0.4762,0.1957
0.5319,0.5114,0.2720
0.6382,0.5984,0.3819
0.6275,0.5936,0.3725
0.5694,0.5603,0.3191
0.5738,0.5044,0.2895
0.5465,0.6252,0.3417
0.6065,0.5132,0.3112
0.5418,0.6047,0.3277
0.5565,0.5079,0.2827
0.5481,0.4844,0.2655
0.6111,0.5048,0.3085
0.5574,0.5710,0.3182
0.6107,0.4989,0.3047
0.6279,0.5645,0.3545
0.6565,0.6133,0.4026
0.5083,0.5461,0.2776
0.5025,0.5306,0.2666
0.6416,0.5734,0.3679
0.7067,0.5301,0.3746
0.5146,0.4767,0.2453
0.6764,0.6275,0.4244
0.4619,0.4771,0.2204
0.5173,0.5865,0.3034
0.5787,0.4594,0.2658
0.5158,0.5023,0.2591
0.6066,0.5286,0.3207
0.5842,0.5301,0.3097
0.5426,0.5648,0.3065
0.5324,0.5101,0.2716
0.6238,0.4778,0.2980
0.4779,0.6185,0.2956
0.5863,0.4722,0.2768
0.7146,0.5046,0.3606
0.4909,0.5149,0.2528
0.5372,0.5317,0.2856
0.5998,0.5900,0.3539
0.6756,0.6229,0.4208
0.5770,0.5168,0.2982
0.4155,0.4523,0.1879
0.5437,0.5889,0.3201
0.5963,0.6148,0.3666
0.5291,0.5921,0.3133
0.5591,0.6017,0.3364
0.7199,0.5598,0.4030
0.6332,0.6292,0.3984
