faithfulness,naturalness,score
0.6800,0.4120,0.2802
0.7471,0.5311,0.3968
0.7193,0.4786,0.3443
0.7159,0.5504,0.3940
0.7625,0.6269,0.4780
0.5994,0.3293,0.1974
0.6507,0.4711,0.3065
0.6731,0.5188,0.3492
0.7818,0.6036,0.4719
0.7244,0.5417,0.3924
0.6654,0.4052,0.2696
0.7143,0.4308,0.3078
0.5639,0.3880,0.2188
0.6716,0.5214,0.3502
0.7543,0.5353,0.4038
0.6635,0.5520,0.3662
0.7145,0.4973,0.3553
0.7112,0.5348,0.3803
0.6953,0.5155,0.3585
0.7318,0.5104,0.3735
0.6944,0.5258,0.3652
0.6824,0.4453,0.3039
0.7700,0.5744,0.4422
0.7723,0.5735,0.4429
0.6877,0.5117,0.3519
0.7218,0.5048,0.3644
0.7296,0.5226,0.3813
0.6471,0.3951,0.2557
0.7320,0.5865,0.4294
0.6476,0.4791,0.3103
0.7471,0.5756,0.4300
0.7504,0.5166,0.3877
0.6981,0.5139,0.3587
0.7501,0.5140,0.3855
0.6855,0.5220,0.3578
0.6965,0.4863,0.3387
0.7129,0.4662,0.3323
0.6268,0.4859,0.3046
0.7441,0.5266,0.3918
0.6731,0.4238,0.2853
0.7010,0.5122,0.3590
0.6641,0.4337,0.2880
0.7159,0.4753,0.3403
0.7519,0.5254,0.3951
0.7622,0.5347,0.4075
0.6778,0.5070,0.3437
0.6048,0.3526,0.2132
0.7637,0.5204,0.3974
0.7513,0.5060,0.3801
0.7202,0.4526,0.3259
0.6924,0.5426,0.3757
0.7410,0.5602,0.4151
0.7324,0.5723,0.4192
0.7831,0.5290,0.4142
0.6017,0.3577,0.2152
0.7307,0.5305,0.3876
0.6041,0.3442,0.2079
0.7826,0.5950,0.4656
0.6133,0.3837,0.2353
0.7631,0.5750,0.4388
0.6452,0.4300,0.2774
0.7176,0.4879,0.3501
0.6737,0.4823,0.3249
0.7313,0.5466,0.3997
0.6644,0.5329,0.3541
0.7751,0.5576,0.4322
0.7001,0.4876,0.3414
0.7618,0.5632,0.4290
0.7329,0.5120,0.3752
0.7508,0.5768,0.4331
0.7493,0.4743,0.3554
0.7081,0.5239,0.3710
0.7063,0.5388,0.3806
0.7285,0.5154,0.3755
0.6656,0.4933,0.3283
0.6905,0.4950,0.3418
0.7827,0.5553,0.4346
0.7015,0.5715,0.4009
0.7983,0.5632,0.4496
0.7088,0.5076,0.3598
0.8161,0.6822,0.5567
0.7153,0.4918,0.3518
0.7020,0.5737,0.4027
0.7373,0.5333,0.3932
0.6322,0.3986,0.2520
0.7647,0.5392,0.4123
0.7663,0.5726,0.4388
0.6967,0.5374,0.3744
0.6532,0.4584,0.2994
0.7275,0.4991,0.3631
0.8154,0.5834,0.4757
0.7436,0.5821,0.4329
0.7668,0.5832,0.4472
0.7177,0.5460,0.3919
0.6352,0.3841,0.2440
0.7239,0.4723,0.3419
0.7564,0.5681,0.4297
0.7092,0.5531,0.3922
0.7307,0.5323,0.3889
0.7497,0.5681,0.4259
