faithfulness,naturalness,score
0.5667,0.4544,0.2575
0.5861,0.5060,0.2966
0.5931,0.4945,0.2933
0.5905,0.5615,0.3316
0.5861,0.4618,0.2707
0.5708,0.4740,0.2706
0.6400,0.4708,0.3013
0.6154,0.5212,0.3208
0.5157,0.4305,0.2220
0.6247,0.4469,0.2791
0.6178,0.5075,0.3136
0.5578,0.4275,0.2385
0.5592,0.4995,0.2793
0.5764,0.4792,0.2762
0.6186,0.4491,0.2778
0.5909,0.4925,0.2910
0.5870,0.5204,0.3055
0.5363,0.4340,0.2327
0.6073,0.4446,0.2700
0.5313,0.4087,0.2171
0.5484,0.5402,0.2963
0.5303,0.3826,0.2029
0.6110,0.4869,0.2975
0.4839,0.4671,0.2261
0.5853,0.4402,0.2577
0.5367,0.6572,0.3527
0.5995,0.5077,0.3044
0.5828,0.4414,0.2573
0.6787,0.5486,0.3724
0.5644,0.4897,0.2764
0.6663,0.5576,0.3715
0.5781,0.4537,0.2623
0.5665,0.4631,0.2623
0.4751,0.3887,0.1847
0.6036,0.5459,0.3295
0.5957,0.4471,0.2664
0.5157,0.3982,0.2053
0.5536,0.4482,0.2482
0.5655,0.4485,0.2536
0.6252,0.4886,0.3055
0.6224,0.4441,0.2764
0.5837,0.4497,0.2625
0.5718,0.4888,0.2795
0.5677,0.4853,0.2755
0.6511,0.5424,0.3532
0.5921,0.4790,0.2836
0.5149,0.4452,0.2292
0.5004,0.5653,0.2829
0.6498,0.5419,0.3521
0.6075,0.4975,0.3022
0.6015,0.5187,0.3120
0.4981,0.5809,0.2893
0.4998,0.4270,0.2134
0.5295,0.4851,0.2569
0.5801,0.5407,0.3137
0.6124,0.4519,0.2767
0.6174,0.4210,0.2599
0.5677,0.3836,0.2178
0.5626,0.4853,0.2730
0.6143,0.5438,0.3341
0.5326,0.4367,0.2326
0.6209,0.4570,0.2837
0.5896,0.4159,0.2452
0.5708,0.4841,0.2763
0.5434,0.4279,0.2325
0.5627,0.5160,0.2904
0.5687,0.5003,0.2845
0.6088,0.5003,0.3046
0.5962,0.4098,0.2443
0.5984,0.5247,0.3140
0.6368,0.5898,0.3756
0.5740,0.4419,0.2537
0.6366,0.4942,0.3146
0.5364,0.4876,0.2615
0.5477,0.4390,0.2405
0.5956,0.4623,0.2754
0.5238,0.5094,0.2668
0.5163,0.4825,0.2491
0.5280,0.5133,0.2710
0.5772,0.5120,0.2955
0.5980,0.5011,0.2997
0.5671,0.5119,0.2903
0.5785,0.4513,0.2611
0.4982,0.5628,0.2804
0.5525,0.3977,0.2197
0.5899,0.4757,0.2806
0.5532,0.5044,0.2790
0.5041,0.5194,0.2618
0.5818,0.4799,0.2792
0.6124,0.5417,0.3318
0.6155,0.5191,0.3195
0.5612,0.4189,0.2351
0.6070,0.4927,0.2991
0.5663,0.4851,0.2748
0.5706,0.4604,0.2627
0.5580,0.4557,0.2543
0.5204,0.5100,0.2654
0.6804,0.5157,0.3509
0.5740,0.4887,0.2805
0.5637,0.4561,0.2571
