faithfulness,naturalness,score
0.4734,0.5270,0.2495
0.4728,0.5150,0.2435
0.4694,0.5386,0.2528
0.4459,0.4927,0.2197
0.5324,0.6239,0.3322
0.4796,0.5270,0.2528
0.4903,0.4743,0.2325
0.4121,0.5085,0.2096
0.5130,0.5690,0.2919
0.4394,0.5343,0.2347
0.4579,0.4497,0.2059
0.6201,0.6705,0.4157
0.4052,0.4806,0.1947
0.4981,0.4963,0.2472
0.4530,0.4992,0.2261
0.4974,0.4923,0.2449
0.4773,0.5044,0.2408
0.4498,0.5353,0.2408
0.4827,0.5165,0.2493
0.6270,0.5814,0.3645
0.4521,0.4987,0.2255
0.4455,0.5353,0.2385
0.4707,0.5045,0.2375
0.4721,0.5533,0.2612
0.5024,0.5211,0.2618
0.5295,0.5310,0.2811
0.5214,0.4950,0.2581
0.4558,0.4938,0.2251
0.4356,0.5634,0.2454
0.5193,0.5391,0.2800
0.4736,0.5410,0.2562
0.5109,0.5625,0.2874
0.4834,0.4864,0.2351
0.4779,0.4273,0.2042
0.4826,0.4656,0.2247
0.4557,0.4361,0.1987
0.4899,0.5263,0.2578
0.5088,0.4860,0.2473
0.4732,0.5129,0.2427
0.4371,0.5478,0.2395
0.4566,0.6008,0.2743
0.4161,0.4798,0.1996
0.5113,0.5532,0.2828
0.4975,0.5535,0.2754
0.4914,0.5338,0.2623
0.5375,0.5582,0.3000
0.5736,0.5899,0.3384
0.5182,0.5462,0.2830
0.4689,0.5358,0.2512
0.4829,0.4500,0.2173
0.5163,0.5494,0.2837
0.5234,0.5594,0.2928
0.5523,0.6305,0.3483
0.5071,0.4810,0.2439
0.4984,0.5239,0.2611
0.5306,0.4613,0.2448
0.5481,0.5177,0.2837
0.5060,0.5567,0.2817
0.4720,0.4702,0.2219
0.5214,0.5850,0.3050
0.4610,0.5128,0.2364
0.4990,0.5177,0.2583
0.5156,0.6312,0.3254
0.5275,0.5497,0.2899
0.5577,0.4768,0.2659
0.5167,0.5357,0.2768
0.4876,0.5518,0.2691
0.3925,0.4360,0.1711
0.5594,0.6150,0.3440
0.4913,0.4381,0.2152
0.4603,0.4939,0.2274
0.4769,0.5328,0.2541
0.5050,0.4582,0.2314
0.5319,0.4831,0.2570
0.4544,0.5564,0.2528
0.4676,0.4533,0.2120
0.5125,0.5430,0.2783
0.6127,0.5391,0.3303
0.3881,0.4604,0.1787
0.5123,0.5376,0.2754
0.4472,0.5089,0.2276
0.6088,0.5345,0.3254
0.4966,0.5448,0.2705
0.4641,0.5994,0.2782
0.4466,0.5342,0.2386
0.5524,0.5613,0.3100
0.4412,0.4880,0.2153
0.4562,0.5298,0.2417
0.4474,0.4858,0.2174
0.5846,0.5058,0.2957
0.4198,0.5357,0.2249
0.4268,0.5009,0.2138
0.5224,0.5707,0.2981
0.4913,0.5287,0.2597
0.4041,0.5006,0.2023
0.4769,0.4781,0.2280
0.4820,0.5855,0.2822
0.4601,0.5725,0.2634
0.5151,0.5646,0.2908
0.4329,0.4997,0.2163
