faithfulness,naturalness,score
0.5946,0.5542,0.3295
0.5928,0.6045,0.3584
0.5345,0.5312,0.2839
0.6018,0.5325,0.3205
0.5720,0.5918,0.3385
0.5163,0.5423,0.2800
0.5472,0.4526,0.2477
0.5404,0.5364,0.2899
0.5329,0.4588,0.2445
0.6095,0.5519,0.3363
0.5813,0.5033,0.2926
0.5583,0.4325,0.2415
0.5827,0.5306,0.3091
0.5822,0.5186,0.3019
0.5371,0.4636,0.2490
0.5487,0.6204,0.3404
0.6125,0.5693,0.3487
0.5588,0.5605,0.3132
0.4445,0.4318,0.1919
0.5528,0.6497,0.3592
0.4956,0.4618,0.2289
0.6470,0.5530,0.3578
0.5392,0.5218,0.2813
0.4920,0.3987,0.1961
0.5550,0.4355,0.2417
0.5526,0.5772,0.3190
0.5062,0.4255,0.2154
0.5528,0.5500,0.3041
0.5882,0.4825,0.2838
0.5137,0.5254,0.2699
0.5350,0.5067,0.2711
0.4826,0.4886,0.2358
0.5321,0.4830,0.2570
0.5968,0.6037,0.3603
0.4717,0.5095,0.2403
0.5777,0.5166,0.2984
0.4308,0.4183,0.1802
0.5254,0.5617,0.2951
0.5414,0.4980,0.2696
0.6617,0.6320,0.4182
0.5284,0.5970,0.3155
0.4803,0.4886,0.2347
0.5317,0.4798,0.2551
0.5920,0.5108,0.3024
0.4738,0.4687,0.2221
0.5824,0.5126,0.2985
0.5645,0.4660,0.2630
0.4190,0.4449,0.1864
0.6510,0.5368,0.3494
0.5645,0.4999,0.2822
0.6322,0.5393,0.3410
0.6048,0.5089,0.3078
0.5712,0.4553,0.2601
0.6205,0.5759,0.3574
0.5784,0.6071,0.3512
0.5600,0.5539,0.3102
0.4424,0.4885,0.2161
0.6726,0.5444,0.3661
0.5771,0.5571,0.3215
0.4675,0.4601,0.2151
0.5165,0.4475,0.2311
0.4999,0.4758,0.2379
0.5429,0.5387,0.2925
0.5177,0.4927,0.2551
0.5205,0.4608,0.2399
0.5519,0.4861,0.2683
0.5368,0.5202,0.2793
0.5390,0.5243,0.2826
0.5676,0.5254,0.2983
0.4586,0.4939,0.2265
0.5113,0.4632,0.2368
0.6368,0.6512,0.4147
0.6114,0.5455,0.3335
0.5654,0.5419,0.3064
0.5269,0.4868,0.2565
0.4678,0.5204,0.2435
0.5218,0.5671,0.2959
0.4771,0.4565,0.2178
0.4928,0.5370,0.2646
0.6255,0.6135,0.3838
0.4954,0.4451,0.2205
0.6222,0.5122,0.3187
0.5151,0.5173,0.2664
0.5603,0.5148,0.2885
0.5715,0.5759,0.3291
0.5243,0.5527,0.2898
0.5859,0.5387,0.3156
0.4853,0.4864,0.2360
0.5114,0.5788,0.2960
0.6249,0.6015,0.3759
0.5210,0.4856,0.2530
0.6331,0.6203,0.3927
0.5703,0.5119,0.2919
0.4989,0.5248,0.2619
0.5037,0.4512,0.2272
0.5174,0.5272,0.2728
0.5568,0.5132,0.2858
0.4590,0.4167,0.1913
0.4985,0.4927,0.2456
0.5861,0.6138,0.3597
