faithfulness,naturalness,score
0.3540,0.4059,0.1437
0.5318,0.4596,0.2444
0.4937,0.4426,0.2185
0.4999,0.4186,0.2093
0.7439,0.6053,0.4503
0.6610,0.5676,0.3752
0.3320,0.4765,0.1582
0.6017,0.4700,0.2828
0.6225,0.6025,0.3751
0.4590,0.5115,0.2348
0.6221,0.5276,0.3282
0.6855,0.5774,0.3958
0.3504,0.5146,0.1803
0.3834,0.5036,0.1931
0.4999,0.4620,0.2310
0.5211,0.4320,0.2251
0.4030,0.4669,0.1882
0.6281,0.4920,0.3090
0.4450,0.4594,0.2044
0.6481,0.5607,0.3634
0.3574,0.4056,0.1449
0.6468,0.5150,0.3331
0.6999,0.5146,0.3602
0.7212,0.5031,0.3628
0.3854,0.4564,0.1759
0.7135,0.5816,0.4150
0.6030,0.4127,0.2489
0.6662,0.4929,0.3283
0.5621,0.5012,0.2817
0.6420,0.5364,0.3444
0.4746,0.3594,0.1706
0.3727,0.5339,0.1990
0.4620,0.4178,0.1930
0.6271,0.4941,0.3098
0.4373,0.4392,0.1921
0.3991,0.3934,0.1570
0.3966,0.4979,0.1975
0.3921,0.3989,0.1564
0.5767,0.5142,0.2965
0.5998,0.4676,0.2805
0.6277,0.4166,0.2615
0.4015,0.4090,0.1642
0.5870,0.4251,0.2495
0.3848,0.4859,0.1870
0.6133,0.4738,0.2906
0.5937,0.4490,0.2666
0.4555,0.4017,0.1830
0.5655,0.4927,0.2786
0.6722,0.5050,0.3394
0.6629,0.5887,0.3903
0.5673,0.5318,0.3017
0.5943,0.5022,0.2985
0.6508,0.5245,0.3413
0.6969,0.5880,0.4098
0.6376,0.5988,0.3818
0.5736,0.5160,0.2960
0.7006,0.6192,0.4338
0.5420,0.4419,0.2395
0.6086,0.6242,0.3799
0.4637,0.4889,0.2267
0.5629,0.4853,0.2732
0.4477,0.4807,0.2152
0.6306,0.4871,0.3072
0.3876,0.4191,0.1624
0.5692,0.4081,0.2323
0.4447,0.3510,0.1561
0.5431,0.5473,0.2972
0.6860,0.5458,0.3744
0.3597,0.2893,0.1041
0.3475,0.4918,0.1709
0.6077,0.5328,0.3238
0.5331,0.4830,0.2575
0.5030,0.4825,0.2427
0.6016,0.5141,0.3093
0.6387,0.5398,0.3447
0.5350,0.4576,0.2448
0.4707,0.4129,0.1944
0.5922,0.4443,0.2631
0.5819,0.4808,0.2797
0.4671,0.5189,0.2424
0.4033,0.5397,0.2176
0.5758,0.4755,0.2738
0.6305,0.5294,0.3338
0.6124,0.4996,0.3059
0.4753,0.4141,0.1968
0.5966,0.4953,0.2955
0.4235,0.4592,0.1945
0.5663,0.4985,0.2823
0.6672,0.5542,0.3698
0.4907,0.4655,0.2284
0.6228,0.4876,0.3037
0.6871,0.6152,0.4227
0.5844,0.5563,0.3251
0.5895,0.5039,0.2971
0.6340,0.4989,0.3163
0.3994,0.4401,0.1757
0.7199,0.5810,0.4183
0.4722,0.4892,0.2310
0.3242,0.4440,0.1439
0.7234,0.6426,0.4649
