faithfulness,naturalness,score
0.6705,0.6441,0.4319
0.6649,0.6337,0.4214
0.6577,0.6345,0.4173
0.5818,0.6819,0.3968
0.6612,0.5951,0.3935
0.6042,0.5730,0.3462
0.6655,0.6616,0.4403
0.6347,0.6014,0.3817
0.6524,0.5564,0.3630
0.6847,0.6232,0.4267
0.5245,0.6589,0.3456
0.6375,0.5632,0.3590
0.3652,0.5304,0.1937
0.6371,0.5438,0.3465
0.6079,0.5334,0.3242
0.5904,0.5780,0.3412
0.6840,0.7037,0.4813
0.5103,0.6201,0.3164
0.5862,0.6103,0.3577
0.6048,0.5869,0.3550
0.4705,0.6359,0.2992
0.6549,0.6087,0.3986
0.7084,0.6023,0.4267
0.5938,0.5731,0.3403
0.7270,0.6667,0.4847
0.4381,0.5947,0.2605
0.5285,0.6645,0.3512
0.5901,0.5202,0.3070
0.4574,0.6447,0.2949
0.5776,0.5326,0.3076
0.6161,0.6378,0.3930
0.6789,0.5415,0.3676
0.5181,0.5405,0.2800
0.5725,0.6657,0.3811
0.6022,0.6079,0.3660
0.6210,0.5977,0.3711
0.6301,0.5079,0.3200
0.5969,0.5248,0.3132
0.6675,0.5880,0.3925
0.6014,0.5329,0.3205
0.6676,0.6799,0.4539
0.6915,0.6342,0.4385
0.5364,0.5836,0.3131
0.5388,0.5678,0.3059
0.5811,0.5689,0.3306
0.6166,0.5723,0.3529
0.3877,0.5528,0.2143
0.4755,0.6437,0.3061
0.6406,0.6166,0.3950
0.6200,0.6037,0.3743
0.3764,0.5365,0.2019
0.5845,0.5681,0.3321
0.5637,0.5774,0.3255
0.6938,0.6528,0.4529
0.4719,0.5639,0.2661
0.6082,0.6007,0.3654
0.6455,0.6296,0.4064
0.6105,0.6247,0.3814
0.6235,0.6148,0.3833
0.6828,0.6031,0.4118
0.5551,0.6410,0.3558
0.6121,0.5610,0.3434
0.5082,0.5508,0.2799
0.5950,0.6896,0.4103
0.5911,0.5582,0.3300
0.5943,0.5475,0.3254
0.6463,0.6227,0.4025
0.3663,0.5206,0.1907
0.6203,0.5572,0.3456
0.6017,0.7224,0.4347
0.6495,0.6331,0.4112
0.6284,0.6139,0.3858
0.6521,0.6416,0.4184
0.5121,0.6108,0.3128
0.6905,0.6607,0.4563
0.5645,0.6861,0.3873
0.6265,0.5384,0.3373
0.6644,0.5635,0.3743
0.3791,0.5322,0.2017
0.6442,0.5717,0.3682
0.6152,0.5390,0.3316
0.5933,0.5164,0.3064
0.6905,0.6350,0.4385
0.5710,0.6709,0.3831
0.6629,0.5606,0.3716
0.7362,0.6839,0.5036
0.6542,0.6507,0.4257
0.5709,0.6689,0.3819
0.6177,0.5693,0.3516
0.6754,0.6349,0.4288
0.6488,0.6088,0.3950
0.6713,0.5970,0.4008
0.6789,0.6304,0.4280
0.5315,0.4765,0.2532
0.5708,0.5772,0.3294
0.6287,0.6031,0.3791
0.6918,0.6369,0.4406
0.6909,0.6154,0.4251
0.5831,0.5413,0.3156
0.6588,0.5839,0.3847
