faithfulness,naturalness,score
0.5536,0.5695,0.3153
0.6202,0.5514,0.3420
0.5602,0.5599,0.3137
0.6401,0.5463,0.3497
0.5928,0.5665,0.3358
0.5059,0.5109,0.2585
0.5740,0.6002,0.3445
0.5606,0.5923,0.3321
0.5148,0.4666,0.2402
0.5611,0.5303,0.2975
0.6252,0.5421,0.3389
0.5177,0.5046,0.2612
0.4500,0.5620,0.2529
0.4908,0.5373,0.2637
0.4885,0.4458,0.2178
0.5786,0.5730,0.3316
0.5755,0.5176,0.2978
0.5827,0.6236,0.3634
0.6300,0.5584,0.3518
0.5321,0.5435,0.2892
0.5614,0.5205,0.2922
0.4763,0.4998,0.2381
0.5608,0.5376,0.3015
0.4500,0.5760,0.2592
0.5422,0.5592,0.3032
0.5699,0.5425,0.3092
0.5036,0.4642,0.2337
0.4612,0.4934,0.2276
0.4556,0.4674,0.2129
0.5235,0.5329,0.2790
0.3924,0.5132,0.2014
0.7615,0.5781,0.4402
0.5996,0.5295,0.3175
0.5254,0.5187,0.2726
0.5688,0.5299,0.3014
0.5984,0.5969,0.3572
0.5701,0.4831,0.2754
0.6205,0.5867,0.3640
0.5712,0.5459,0.3118
0.4765,0.4484,0.2136
0.5742,0.5472,0.3142
0.4944,0.5768,0.2852
0.5114,0.5035,0.2575
0.5237,0.5741,0.3007
0.5955,0.4790,0.2853
0.5102,0.5424,0.2767
0.5073,0.5238,0.2657
0.6646,0.6419,0.4266
0.5790,0.5032,0.2913
0.5398,0.5343,0.2884
0.5701,0.4802,0.2738
0.4340,0.4373,0.1898
0.5489,0.5324,0.2922
0.5075,0.5103,0.2590
0.5501,0.5329,0.2931
0.5328,0.5474,0.2916
0.5285,0.5632,0.2977
0.5791,0.5320,0.3081
0.5403,0.5943,0.3211
0.4571,0.4675,0.2137
0.5993,0.5473,0.3280
0.6251,0.5909,0.3694
0.5241,0.5597,0.2933
0.5201,0.4905,0.2551
0.5092,0.5072,0.2583
0.5851,0.5437,0.3181
0.5412,0.5144,0.2784
0.5175,0.5432,0.2811
0.4784,0.5494,0.2628
0.6449,0.6315,0.4073
0.6858,0.6068,0.4161
0.5532,0.5200,0.2876
0.5465,0.5204,0.2844
0.5749,0.5266,0.3028
0.5734,0.5380,0.3085
0.5670,0.5767,0.3270
0.5630,0.5259,0.2961
0.5688,0.5601,0.3186
0.5866,0.6365,0.3734
0.4454,0.5152,0.2294
0.5482,0.4803,0.2633
0.6526,0.5705,0.3723
0.5991,0.5259,0.3151
0.4951,0.5142,0.2546
0.6246,0.6102,0.3811
0.5342,0.4884,0.2609
0.5646,0.5533,0.3124
0.6083,0.5642,0.3432
0.5091,0.4867,0.2477
0.6184,0.5195,0.3213
0.5593,0.6087,0.3405
0.5112,0.4844,0.2476
0.6688,0.5230,0.3497
0.5950,0.5783,0.3441
0.5810,0.5792,0.3365
0.5500,0.5590,0.3074
0.6122,0.6455,0.3952
0.5049,0.5398,0.2725
0.5722,0.4714,0.2697
0.5656,0.5564,0.3147
