faithfulness,naturalness,score
0.3660,0.4184,0.1531
0.3930,0.3859,0.1517
0.4263,0.4215,0.1797
0.4303,0.4319,0.1858
0.3889,0.4222,0.1642
0.4008,0.4584,0.1838
0.3887,0.4198,0.1632
0.3735,0.4039,0.1509
0.3592,0.3979,0.1429
0.4757,0.4941,0.2350
0.4287,0.4282,0.1836
0.4119,0.4155,0.1711
0.4149,0.4822,0.2000
0.3664,0.3671,0.1345
0.4920,0.4151,0.2043
0.4122,0.4456,0.1837
0.3833,0.4392,0.1684
0.4958,0.4718,0.2340
0.4361,0.3511,0.1531
0.4328,0.4892,0.2117
0.4832,0.4556,0.2202
0.3307,0.3826,0.1265
0.4290,0.4736,0.2032
0.4399,0.4948,0.2177
0.3983,0.4583,0.1826
0.4299,0.4771,0.2051
0.5177,0.5123,0.2652
0.3673,0.4108,0.1509
0.4246,0.4318,0.1833
0.4114,0.5455,0.2244
0.4388,0.4212,0.1848
0.4052,0.3930,0.1593
0.4027,0.4211,0.1696
0.4268,0.4944,0.2110
0.3942,0.4142,0.1633
0.4126,0.4332,0.1787
0.4226,0.3839,0.1622
0.3292,0.3801,0.1251
0.4119,0.4594,0.1892
0.5474,0.4659,0.2550
0.3566,0.3779,0.1347
0.5894,0.5877,0.3464
0.4995,0.4676,0.2336
0.4840,0.4988,0.2414
0.4872,0.5965,0.2906
0.4067,0.3936,0.1601
0.4280,0.4398,0.1882
0.4064,0.4891,0.1988
0.4503,0.4029,0.1814
0.3942,0.4006,0.1579
0.4013,0.4554,0.1828
0.3167,0.3869,0.1226
0.4134,0.4410,0.1823
0.5039,0.5061,0.2550
0.4059,0.4544,0.1844
0.4643,0.4500,0.2089
0.4924,0.4377,0.2155
0.4793,0.4055,0.1944
0.4393,0.5081,0.2232
0.4311,0.3975,0.1714
0.4680,0.4425,0.2071
0.3815,0.3361,0.1282
0.5190,0.4872,0.2528
0.4731,0.4958,0.2346
0.3653,0.4177,0.1526
0.4300,0.4259,0.1831
0.4963,0.4860,0.2412
0.4524,0.4594,0.2078
0.3481,0.4765,0.1658
0.4459,0.5213,0.2324
0.3557,0.4002,0.1424
0.4406,0.4608,0.2030
0.3989,0.4355,0.1737
0.4273,0.4326,0.1848
0.3594,0.4209,0.1513
0.4344,0.4510,0.1959
0.3425,0.4729,0.1620
0.3633,0.3596,0.1306
0.4537,0.4837,0.2195
0.4613,0.5213,0.2405
0.3935,0.3597,0.1415
0.3875,0.4464,0.1730
0.4662,0.4548,0.2120
0.3751,0.4622,0.1734
0.3842,0.3985,0.1531
0.3684,0.4452,0.1640
0.3478,0.4586,0.1595
0.4805,0.5218,0.2507
0.4406,0.5049,0.2224
0.4213,0.4716,0.1987
0.4093,0.3943,0.1614
0.3971,0.4112,0.1633
0.3998,0.4452,0.1780
0.4850,0.4758,0.2307
0.5491,0.5036,0.2765
0.4190,0.4267,0.1788
0.3243,0.4373,0.1418
0.4154,0.3921,0.1629
0.4491,0.4621,0.2076
0.3859,0.4201,0.1621
