faithfulness,naturalness,score
0.5364,0.4691,0.2516
0.5760,0.5240,0.3019
0.5387,0.4922,0.2651
0.4368,0.4700,0.2053
0.4212,0.3738,0.1575
0.4816,0.4772,0.2298
0.5024,0.5093,0.2559
0.4711,0.4478,0.2109
0.4834,0.4514,0.2182
0.4714,0.4172,0.1967
0.4964,0.5668,0.2814
0.6542,0.5739,0.3755
0.5150,0.5183,0.2669
0.5064,0.5002,0.2533
0.4283,0.4320,0.1850
0.4783,0.4847,0.2318
0.5972,0.5347,0.3193
0.5998,0.5272,0.3162
0.4797,0.5102,0.2448
0.5990,0.4855,0.2908
0.3932,0.3964,0.1558
0.4447,0.4745,0.2110
0.5231,0.4535,0.2372
0.4606,0.4574,0.2107
0.4773,0.3900,0.1861
0.6071,0.5512,0.3346
0.4979,0.4972,0.2475
0.5223,0.4856,0.2536
0.4662,0.4830,0.2252
0.6956,0.6396,0.4449
0.4807,0.4787,0.2301
0.5020,0.4798,0.2409
0.5164,0.5191,0.2680
0.5125,0.4671,0.2394
0.6631,0.5861,0.3886
0.5207,0.4856,0.2528
0.4905,0.4123,0.2022
0.5544,0.5609,0.3109
0.4787,0.4609,0.2206
0.5444,0.5203,0.2833
0.5305,0.5278,0.2800
0.5337,0.4816,0.2570
0.5248,0.4438,0.2329
0.4379,0.4124,0.1806
0.6372,0.5638,0.3593
0.6309,0.5593,0.3529
0.4938,0.4728,0.2335
0.5157,0.4214,0.2173
0.5420,0.4107,0.2226
0.4704,0.4660,0.2192
0.4760,0.4953,0.2358
0.5164,0.5262,0.2717
0.5607,0.4319,0.2422
0.4620,0.3902,0.1803
0.5061,0.4696,0.2377
0.5620,0.5504,0.3093
0.4448,0.4257,0.1893
0.3892,0.4434,0.1725
0.4280,0.4923,0.2107
0.5747,0.5174,0.2974
0.6857,0.5213,0.3575
0.6308,0.5759,0.3633
0.4363,0.4134,0.1804
0.5414,0.5096,0.2759
0.6113,0.5126,0.3133
0.6216,0.4701,0.2922
0.4641,0.5057,0.2347
0.5822,0.5459,0.3179
0.7341,0.5465,0.4012
0.4794,0.4298,0.2060
0.5906,0.5140,0.3036
0.4922,0.4411,0.2171
0.6392,0.5513,0.3524
0.5328,0.4185,0.2229
0.4647,0.4967,0.2308
0.7260,0.6433,0.4670
0.5245,0.5267,0.2762
0.4958,0.4228,0.2096
0.4162,0.3999,0.1664
0.4609,0.5317,0.2450
0.5863,0.5504,0.3227
0.4475,0.4977,0.2227
0.4574,0.4664,0.2134
0.4223,0.4854,0.2050
0.5825,0.5306,0.3091
0.6633,0.5195,0.3446
0.5527,0.6105,0.3374
0.6545,0.5701,0.3731
0.4497,0.4769,0.2144
0.4281,0.4702,0.2013
0.4651,0.4436,0.2063
0.5064,0.5169,0.2618
0.7111,0.6084,0.4327
0.4792,0.4502,0.2157
0.4444,0.5239,0.2328
0.5417,0.4625,0.2505
0.5363,0.5315,0.2850
0.5451,0.4971,0.2710
0.4856,0.4256,0.2067
0.5318,0.5344,0.2842
