faithfulness,naturalness,score
0.8130,0.6075,0.4939
0.8315,0.6008,0.4996
0.7692,0.5074,0.3903
0.8201,0.6083,0.4988
0.8448,0.6407,0.5413
0.7468,0.5007,0.3739
0.7314,0.5599,0.4095
0.7704,0.5763,0.4440
0.8125,0.5523,0.4488
0.7634,0.5537,0.4227
0.8383,0.5360,0.4493
0.7950,0.5816,0.4624
0.8344,0.5791,0.4832
0.7365,0.5126,0.3776
0.8423,0.5835,0.4915
0.8159,0.5959,0.4862
0.8293,0.5740,0.4761
0.7578,0.5094,0.3860
0.8364,0.6482,0.5422
0.8092,0.5796,0.4690
0.7898,0.6005,0.4742
0.8536,0.6233,0.5321
0.7683,0.5633,0.4328
0.7214,0.5112,0.3688
0.8335,0.5957,0.4965
0.7984,0.5296,0.4228
0.7445,0.4715,0.3510
0.7499,0.5456,0.4092
0.7545,0.5382,0.4061
0.7764,0.5283,0.4101
0.7244,0.5188,0.3758
0.7889,0.5791,0.4569
0.6768,0.3521,0.2383
0.7383,0.5463,0.4033
0.8000,0.5559,0.4447
0.8321,0.6619,0.5508
0.7046,0.4742,0.3342
0.7532,0.6022,0.4536
0.7890,0.5838,0.4606
0.7684,0.5532,0.4251
0.8528,0.5979,0.5099
0.7995,0.5632,0.4503
0.7603,0.5120,0.3893
0.7516,0.5593,0.4204
0.8704,0.6665,0.5801
0.7222,0.5193,0.3751
0.7311,0.4734,0.3461
0.8112,0.5934,0.4814
0.8027,0.5693,0.4570
0.8053,0.5748,0.4629
0.8038,0.6160,0.4952
0.8012,0.6002,0.4809
0.8050,0.6023,0.4848
0.7992,0.5754,0.4598
0.6678,0.4159,0.2778
0.7603,0.5979,0.4546
0.7578,0.5453,0.4133
0.7920,0.6080,0.4815
0.7324,0.5556,0.4069
0.7485,0.5522,0.4133
0.8058,0.6327,0.5098
0.7595,0.5787,0.4396
0.7885,0.5455,0.4301
0.8160,0.6139,0.5010
0.7329,0.5667,0.4153
0.8217,0.5979,0.4913
0.7292,0.5306,0.3869
0.7177,0.5209,0.3738
0.8394,0.6567,0.5512
0.7411,0.5365,0.3976
0.8073,0.5826,0.4703
0.8110,0.5440,0.4412
0.7757,0.5768,0.4474
0.8090,0.5373,0.4347
0.7408,0.5142,0.3810
0.7752,0.5603,0.4344
0.8247,0.6129,0.5055
0.8032,0.5702,0.4580
0.7231,0.4337,0.3136
0.8114,0.5605,0.4548
0.7954,0.5650,0.4494
0.7793,0.5275,0.4111
0.7677,0.5473,0.4202
0.8049,0.5512,0.4437
0.7702,0.5590,0.4305
0.7771,0.5877,0.4566
0.8227,0.5566,0.4580
0.8199,0.5874,0.4816
0.7382,0.4703,0.3472
0.8400,0.6036,0.5071
0.7833,0.5639,0.4417
0.8152,0.6212,0.5064
0.7870,0.5412,0.4259
0.7315,0.4319,0.3160
0.8049,0.6429,0.5174
0.7724,0.5468,0.4223
0.7739,0.5256,0.4067
0.7348,0.5501,0.4042
0.7509,0.5128,0.3851
0.7596,0.5865,0.4455
