faithfulness,naturalness,score
0.5322,0.4076,0.2170
0.5686,0.4656,0.2647
0.4385,0.4620,0.2026
0.4363,0.4672,0.2039
0.5844,0.5616,0.3282
0.3950,0.4290,0.1695
0.3504,0.4067,0.1425
0.4596,0.4649,0.2137
0.5295,0.5845,0.3095
0.4568,0.5010,0.2288
0.3406,0.4150,0.1414
0.4640,0.5609,0.2602
0.3988,0.4355,0.1737
0.4199,0.4929,0.2070
0.3770,0.4069,0.1534
0.4559,0.4756,0.2168
0.4139,0.3854,0.1595
0.4381,0.4618,0.2023
0.4097,0.4514,0.1850
0.4913,0.4799,0.2358
0.4706,0.4778,0.2249
0.5051,0.4517,0.2282
0.3927,0.4347,0.1707
0.5106,0.5141,0.2625
0.4105,0.3925,0.1611
0.4353,0.4411,0.1920
0.3504,0.4905,0.1719
0.4270,0.5129,0.2190
0.4861,0.4780,0.2323
0.4005,0.4862,0.1947
0.4110,0.4309,0.1771
0.5444,0.5364,0.2920
0.5454,0.5943,0.3242
0.4562,0.4617,0.2106
0.4754,0.5649,0.2686
0.4553,0.4257,0.1938
0.4725,0.4592,0.2170
0.4446,0.4938,0.2195
0.4255,0.5310,0.2259
0.5450,0.5101,0.2780
0.4068,0.4034,0.1641
0.4068,0.5183,0.2109
0.6375,0.5798,0.3696
0.5472,0.3976,0.2176
0.4557,0.4244,0.1934
0.4640,0.4487,0.2082
0.4175,0.4608,0.1924
0.5239,0.5169,0.2708
0.4505,0.4499,0.2027
0.4364,0.5238,0.2286
0.4253,0.5119,0.2177
0.3523,0.4276,0.1507
0.3342,0.4539,0.1517
0.4172,0.4669,0.1948
0.6005,0.5745,0.3450
0.4354,0.4368,0.1902
0.4916,0.4790,0.2355
0.4760,0.5543,0.2639
0.6697,0.6156,0.4123
0.4420,0.4002,0.1769
0.6982,0.6091,0.4253
0.6061,0.4954,0.3002
0.3769,0.4269,0.1609
0.4102,0.4036,0.1656
0.5800,0.5612,0.3255
0.3708,0.4048,0.1501
0.6448,0.5865,0.3782
0.4448,0.3943,0.1754
0.5955,0.4984,0.2968
0.4754,0.5077,0.2414
0.4595,0.4722,0.2169
0.4876,0.5817,0.2837
0.3858,0.3918,0.1511
0.4216,0.4050,0.1707
0.4239,0.4480,0.1899
0.4787,0.4946,0.2368
0.4620,0.5041,0.2329
0.4160,0.5224,0.2173
0.3752,0.4993,0.1873
0.3753,0.4480,0.1682
0.4194,0.4581,0.1921
0.3446,0.4692,0.1617
0.4239,0.5093,0.2159
0.3612,0.3972,0.1434
0.4945,0.4927,0.2436
0.5732,0.6057,0.3471
0.5198,0.5479,0.2848
0.5164,0.4931,0.2546
0.4271,0.5672,0.2423
0.3025,0.3581,0.1083
0.6231,0.5088,0.3170
0.4915,0.4807,0.2363
0.5402,0.4486,0.2423
0.5733,0.5496,0.3150
0.3902,0.3581,0.1397
0.4093,0.4635,0.1897
0.5891,0.5160,0.3040
0.3992,0.4413,0.1762
0.3930,0.4356,0.1712
0.4144,0.4828,0.2001
